,Lex,Example,ConstrPattern,arg_num
960,задавать," Мелик-Пашаев предложил ей готовить Марину Мнишек и Амнерис , что было явно вынужденной мерой ",Snom V вопрос Sdat,3
961,задавать,"  Потому- то Александр Шамильевич и поставил себе целью "" заполучить "" молодую певицу из Свердловска ",Snom V вопрос Sdat,3
962,задавать," [[ И вопрос , который руководству театра был задан во время новогоднего концерта , почему Архипова не поёт в Большом , был воспринят как приказ министерства действовать",Snom V вопрос Sdat,3
963,задавать,]],Snom V вопрос Sdat,3
964,стремиться," Или возьмём вопрос о так называемой "" бесконтактной войне """,Snom V Vinf,2
965,стремиться," [[ Действительно , войны в Ираке и Югославии показывают , что американцы , пользуясь своим технологическим превосходством , стремились наносить удары дальнобойными средствами , сами оставаясь вне зоны досягаемости ПВО и авиации противника ",Snom V Vinf,2
966,стремиться,"]]  Действительно , высокоточное дальнобойное оружие -- крайне опасное средство ",Snom V Vinf,2
967,стремиться,"  И оно действительно существенно изменяет характер вооружённой борьбы , так что недооценивать его нельзя",Snom V Vinf,2
968,стремиться,"  Но и нет оснований для того , чтобы",Snom V Vinf,2
969,убежденный,  Мы убеждены: обязательства и регулярный отчёт необходимы,Snom убежденный CL,2
970,убежденный,  Иначе мы никогда не окрепнем и не наберём силы для настоящей борьбы ,Snom убежденный CL,2
971,убежденный,"  Ряд руководителей-коммунистов могут отчитываться на уровне бюро обкома , а первые лица области прежде всего - на Президиуме ЦК ",Snom убежденный CL,2
972,убежденный,  Пока этого нет,Snom убежденный CL,2
973,повесить, -- На окраину ,Snom V Sacc {ADV / PRкуда + Sx},3
974,повесить,  В маленький бар районного значения ,Snom V Sacc {ADV / PRкуда + Sx},3
975,повесить,  Или на фестиваль местных неформалов ,Snom V Sacc {ADV / PRкуда + Sx},3
976,повесить,"  Так в Лондоне случилось : там был рок-панк-фестиваль, за городом , куда приехали на безумно богатых машинах какие-то выкрашенные красным люди, в дико дорогих круто-рваных одеждах , с серьгами во всех мыслимых местах ",Snom V Sacc {ADV / PRкуда + Sx},3
977,повесить,"  Они там прыгали , падали мордой в грязь , орали слова , которых в словарях нет",Snom V Sacc {ADV / PRкуда + Sx},3
978,повесить,"  Потом сели в машины , уехали",Snom V Sacc {ADV / PRкуда + Sx},3
979,повесить,"  Я на всё это тихонечко смотрел , думал :"" А ведь утром эти ребята -- банковские клерки !  Умылись , булавочки из носов повытаскивали, белые рубашечки , дорогие ботиночки ",Snom V Sacc {ADV / PRкуда + Sx},3
980,повесить,,Snom V Sacc {ADV / PRкуда + Sx},3
981,повесить,,Snom V Sacc {ADV / PRкуда + Sx},3
982,повесить," "" Потом пошёл в район , где антикварные магазинчики ",Snom V Sacc {ADV / PRкуда + Sx},3
983,повесить,"  Там тоже приятные персонажи бродили, полезные",Snom V Sacc {ADV / PRкуда + Sx},3
984,повесить,  Это всё такая нетуристическая изнанка -- как я люблю эту изнанку !  А в Амстердаме какое раздолье : они там не вешают штор на окна ,Snom V Sacc {ADV / PRкуда + Sx},3
985,повесить,  Рай просто!,Snom V Sacc {ADV / PRкуда + Sx},3
986,повесить,,Snom V Sacc {ADV / PRкуда + Sx},3
987,повесить,"  Я ужасно жалею , что из-за работы не могу сейчас путешествовать ",Snom V Sacc {ADV / PRкуда + Sx},3
988,повесить,"  А хочется поехать , например , в Непал ",Snom V Sacc {ADV / PRкуда + Sx},3
989,повесить,  В Индию ,Snom V Sacc {ADV / PRкуда + Sx},3
990,повесить,"  Туда , где всё другое",Snom V Sacc {ADV / PRкуда + Sx},3
991,повесить,"  Мне рассказывал один знакомый , как он съездил в Катманду -- мне физически захотелось всё бросить -- и в Катманду ! "" Ему говорят :"" В Таиланд ! ",Snom V Sacc {ADV / PRкуда + Sx},3
992,описать," В журнале "" Труды АН США "" Гленда Макуин из университета Макмастера опубликовала статью , в которой описала результаты обследования молодых людей , страдающих постпубертатной депрессией и попытками самоубийства ",Snom V Sacc в + Sloc,3
993,описать,"  И показала , что чем больше депрессивных эпизодов , тем меньше объём",Snom V Sacc в + Sloc,3
994,описывать," В журнале "" Труды АН США "" Гленда Макуин из университета Макмастера опубликовала статью , в которой описала результаты обследования молодых людей , страдающих постпубертатной депрессией и попытками самоубийства ",Snom V Sacc в + Sloc,3
995,описывать,"  И показала , что чем больше депрессивных эпизодов , тем меньше объём",Snom V Sacc в + Sloc,3
996,задать,"чёрт знает что!» И он посадит, я его знаю»",Snom V дрозда Sdat,3
997,задать,  ( [[ С Фадеевым Мячин как будто учился в гимназии и каждое лето гостил у него на даче,Snom V дрозда Sdat,3
998,задать," «Вот уж мы дрозда тогда задали! ]]  Чудо человек!   Простой, ясный!  Бесконечно его люблю!») А ты ведь тоже, брат, тогда подсмеивался",Snom V дрозда Sdat,3
999,задать,"   Вхожий!   Авторитетнейший!   Второй Чехов!   Он ведь тебе и такое поднёс -- второй Чехов: мол, рассказы о следователях",Snom V дрозда Sdat,3
1000,дрозда,"чёрт знает что!» И он посадит, я его знаю»",Snom V дрозда Sdat,3
1001,дрозда,  ( [[ С Фадеевым Мячин как будто учился в гимназии и каждое лето гостил у него на даче,Snom V дрозда Sdat,3
1002,дрозда," «Вот уж мы дрозда тогда задали! ]]  Чудо человек!   Простой, ясный!  Бесконечно его люблю!») А ты ведь тоже, брат, тогда подсмеивался",Snom V дрозда Sdat,3
1003,дрозда,"   Вхожий!   Авторитетнейший!   Второй Чехов!   Он ведь тебе и такое поднёс -- второй Чехов: мол, рассказы о следователях",Snom V дрозда Sdat,3
1004,обеспечивать,такова,Snom V Sacc Sdat,3
1005,обеспечивать,"  Полимер-- это длинная цепочка атомов , к которой , как подвески на хрустальной люстре , присоединены функциональные группы ",Snom V Sacc Sdat,3
1006,обеспечивать,"  Атомы в этих группах могут быть организованы множеством различных способов , и каждый из них придаёт полимеру какие-то иные свойства ",Snom V Sacc Sdat,3
1007,обеспечивать, [[ Именно бесконечное разнообразие строения и обеспечило полимерам победное шествие по свету ,Snom V Sacc Sdat,3
1008,обеспечивать,"]]  Казалось бы , задача химика предельно проста -- навешивай на цепочку всё новые и новые группы и получай разные материалы один за другим ",Snom V Sacc Sdat,3
1009,обеспечивать,"  Однако простой путь , как это всегда и бывает , к успеху не ведёт : отнюдь не",Snom V Sacc Sdat,3
1010,звучать,Немцы заняли деревянный двухэтажный дом и особняк,Snom V,1
1011,звучать, По вечерам в селе стало шумно,Snom V,1
1012,звучать," Пиликали губные гармошки, на просторном балконе барского дома гремел аккордеон -- заграничная штучка",Snom V,1
1013,звучать," Почему-то звучала преимущественно одна и та же мелодия, ритмику которой хорошо передают слова, которыми мы, дети, подпевали: «Машины-шины, шины!  Машины-шины, шины! » Уже в середине 50-х я услышал ее снова в исполнении артистов ГДР",Snom V,1
1014,звучать," Она была в одно время очень популярна у нас, а называлась, как я узнал, «Дятел»",Snom V,1
1015,прозвучать,Немцы заняли деревянный двухэтажный дом и особняк,Snom V,1
1016,прозвучать, По вечерам в селе стало шумно,Snom V,1
1017,прозвучать," Пиликали губные гармошки, на просторном балконе барского дома гремел аккордеон -- заграничная штучка",Snom V,1
1018,прозвучать," Почему-то звучала преимущественно одна и та же мелодия, ритмику которой хорошо передают слова, которыми мы, дети, подпевали: «Машины-шины, шины!  Машины-шины, шины! » Уже в середине 50-х я услышал ее снова в исполнении артистов ГДР",Snom V,1
1019,прозвучать," Она была в одно время очень популярна у нас, а называлась, как я узнал, «Дятел»",Snom V,1
1020,полюбоваться,"  Герой Нашего Времени , милостивые государи мои , точно, портрет , но не одного человека : это портрет , составленный из пороков всего нашего поколения , в полном их развитии ",Snom V Sins,2
1021,полюбоваться,"  Вы мне опять скажете , что человек не может быть так дурен , а я вам скажу , что ежели вы верили возможности существования всех трагических и романтических злодеев , отчего же вы не веруете в действительность Печорина ?  Если вы любовались вымыслами гораздо более ужасными и уродливыми , отчего же этот характер , даже как вымысел, не находит у вас пощады?  Уж не оттого ли , что в нём больше правды , нежели бы вы того желали?",Snom V Sins,2
1022,полюбоваться,,Snom V Sins,2
1023,доказать, Сам Демихов никогда не сомневался в возможности трансплантации всех жизненно важных органов и уже в начале 50-х годов доказал это экспериментально,Snom V Sacc,2
1024,доказать, ,Snom V Sacc,2
1025,доказывать, Сам Демихов никогда не сомневался в возможности трансплантации всех жизненно важных органов и уже в начале 50-х годов доказал это экспериментально,Snom V Sacc,2
1026,доказывать, ,Snom V Sacc,2
1027,убежденный, - Боюсь,Snom убежденный CL,2
1028,убежденный,  Экономическая ситуация в самом деле внушает опасения ,Snom убежденный CL,2
1029,убежденный,"  И дело не в наших аппетитах , а в инфляции , которую подстегивают монополисты",Snom убежденный CL,2
1030,убежденный,"  В 2001 году железнодорожные тарифы выросли на 60%, в 2002-м -- на 27%, в январе этого года -- ещё на 12%",Snom убежденный CL,2
1031,убежденный,"  Электроэнергия в 2001 году подорожала на 30%, тепло-- на 22%, в 2002-м -- на 19 и 60% соответственно",Snom убежденный CL,2
1032,убежденный,"  Газ за 2001-й подорожал на 16%, за 2002-й -- на 39%, а с января этого-- ещё на 20%",Snom убежденный CL,2
1033,убежденный,"  Напрямую каждый из этих факторов не очень сильно влияет на себестоимость , но в сумме ",Snom убежденный CL,2
1034,убежденный,,Snom убежденный CL,2
1035,убежденный,,Snom убежденный CL,2
1036,убежденный,"  В прошлом году на рубль выпущенной продукции мы тратили 86, 9 коп ",Snom убежденный CL,2
1037,убежденный,", в этом запланировали уже 88",Snom убежденный CL,2
1038,убежденный,"  Каждый год изыскиваем возможности сокращать издержки , но ресурсов для этого всё меньше и меньше ",Snom убежденный CL,2
1039,убежденный," "" Социалку "" сокращали многократно , но есть всё же предел",Snom убежденный CL,2
1040,убежденный,  Где выход?  Я убеждён : в Тольятти должны прийти иностранные инвесторы ,Snom убежденный CL,2
1041,убежденный,"  Автопром России может стать первой отраслью , которая впишется в систему мировой интеграции ",Snom убежденный CL,2
1042,убежденный,"  Вопрос только, на каких условиях ",Snom убежденный CL,2
1043,стремиться,"бы как бы материальным орудием какой-то им владеющей силы , которая мчит его куда-то , человек не был бы свободен , не имел бы суда над собою , не владел бы своим направлением ",Snom V PRкуда + Sx,2
1044,стремиться,"   Не должен ли он стать на иной путь , как скоро ему ясно стало , что он не туда идёт ?",Snom V PRкуда + Sx,2
1045,внедрить,"  Ну вот, так и вышло: всё , что я битых полчаса пытался внедрить в её слабый мозг , Нина Михайловна попросту пропустила мимо ушей : информация , которая казалась неправильной , не могла проникнуть в её обтянутую головёнку ",Snom V Sacc в + Sacc,3
1046,внедрить,"  Похоже , это была женщина железной воли и несгибаемого характера ",Snom V Sacc в + Sacc,3
1047,внедрить,"  Единственное , на чём бы я не стал настаивать ,-- что она намного умнее большого злого попугая ",Snom V Sacc в + Sacc,3
1048,внедрять,"  Ну вот, так и вышло: всё , что я битых полчаса пытался внедрить в её слабый мозг , Нина Михайловна попросту пропустила мимо ушей : информация , которая казалась неправильной , не могла проникнуть в её обтянутую головёнку ",Snom V Sacc в + Sacc,3
1049,внедрять,"  Похоже , это была женщина железной воли и несгибаемого характера ",Snom V Sacc в + Sacc,3
1050,внедрять,"  Единственное , на чём бы я не стал настаивать ,-- что она намного умнее большого злого попугая ",Snom V Sacc в + Sacc,3
1051,прервать," -- Гм, гм ,-- откашлялся Шухов , стесняясь прервать образованный разговор ",Snom V Sacc,2
1052,прервать,"  Ну , и тоже стоять ему тут было ни к чему ",Snom V Sacc,2
1053,стремиться,"Для этого следовало вернуться в Париж и на метро направления Венсенн -- Нейи доехать на колёсах с дутыми шинами до площади Этуаль ( ныне Де Голль), где от высокой Триумфальной арки с четырьмя пролётами расходятся как лучи двенадцать сияющих авеню ",Snom V PRкуда + Sx,2
1054,стремиться," [[ Очевидно , туда стремилась фантазия ключика , когда он заставил своего Тибула идти по проволоке над площадью Звезды ",Snom V PRкуда + Sx,2
1055,стремиться,]],Snom V PRкуда + Sx,2
1056,стремиться,"[[ Он стремится не только изучить народную поэтику , но и освоить её творчески , пытаясь овладеть её приёмами ",Snom V Vinf,2
1057,стремиться,"]]  Так появились в "" Евгении Онегине "" песня "" Девушки, красавицы "" и цикл , названный поэтом "" Песни о Степане Разине",Snom V Vinf,2
1058,застать,  Генерала Неудобнова война застала за границей,Snom V Sacc {ADV / PRгде + Sx},3
1059,застать,"   Лишь в начале 1942 года, вернувшись в Москву, в Наркомат обороны, он увидел баррикады в Замоскворечье, противотанковые ежи, услышал сигналы воздушной тревоги",Snom V Sacc {ADV / PRгде + Sx},3
1060,заставать,  Генерала Неудобнова война застала за границей,Snom V Sacc {ADV / PRгде + Sx},3
1061,заставать,"   Лишь в начале 1942 года, вернувшись в Москву, в Наркомат обороны, он увидел баррикады в Замоскворечье, противотанковые ежи, услышал сигналы воздушной тревоги",Snom V Sacc {ADV / PRгде + Sx},3
1062,опоздать," -- Там бой идет, -- говорит Карпов, -- как же мы можем на батарею опоздать? ",Snom V на + Sacc,2
1063,опаздывать," -- Там бой идет, -- говорит Карпов, -- как же мы можем на батарею опоздать? ",Snom V на + Sacc,2
1064,доказать,"знает , что в древней Церкви не было папы в том смысле , в каком он был в XIX веке",Snom V что + CL,2
1065,доказать,"  Исторически легко доказать , что папства не было ( но оппоненты говорят , что оно было потенциально и волею Божией было выражено тогда , когда Церковь стала",Snom V что + CL,2
1066,доказывать,"знает , что в древней Церкви не было папы в том смысле , в каком он был в XIX веке",Snom V что + CL,2
1067,доказывать,"  Исторически легко доказать , что папства не было ( но оппоненты говорят , что оно было потенциально и волею Божией было выражено тогда , когда Церковь стала",Snom V что + CL,2
1068,обеспечивать, ,Snom V Sacc,2
1069,предотвратить,"  Сегодня спецмилиционеров можно встретить более чем на 30 объектах ВВС и Министерства обороны , размещённых на необъятных просторах 5 субъектов России , от Вологды до Хабаровска и от Оленегорска до Астрахани ",Snom V Sacc,2
1070,предотвратить,  В самых различных географических и климатических условиях сотрудники 6-го управления добросовестно выполняют свой служебный и гражданский долг ,Snom V Sacc,2
1071,предотвратить,"  Ими раскрыт и предотвращён ряд громких и особо опасных преступлений , возвращены государству материальные ценности , драгоценные металлы на миллионы рублей ",Snom V Sacc,2
1072,предотвратить, ,Snom V Sacc,2
1073,предотвращать,"  Сегодня спецмилиционеров можно встретить более чем на 30 объектах ВВС и Министерства обороны , размещённых на необъятных просторах 5 субъектов России , от Вологды до Хабаровска и от Оленегорска до Астрахани ",Snom V Sacc,2
1074,предотвращать,  В самых различных географических и климатических условиях сотрудники 6-го управления добросовестно выполняют свой служебный и гражданский долг ,Snom V Sacc,2
1075,предотвращать,"  Ими раскрыт и предотвращён ряд громких и особо опасных преступлений , возвращены государству материальные ценности , драгоценные металлы на миллионы рублей ",Snom V Sacc,2
1076,предотвращать, ,Snom V Sacc,2
1077,оторваться,"-- А вы нагнитесь, нагнитесь, посмотрите хорошенько,-- рассердился директор",Snom V,1
1078,оторваться," -- Видите, как сделано -- листик на листик!   А лента на середине, посмотрите, посмотрите, какая!  Муар!   А шнурочек какой!   Каждый виток виден!   Нет, что говорить, большой, большой мастер делал!   Он у генерала год жил, памятник его дочке высекал",Snom V,1
1079,оторваться,"   Ну, а потом генерал это самое",Snom V,1
1080,оторваться,,Snom V,1
1081,оторваться,,Snom V,1
1082,оторваться,"   Ну, после её смерти тоже задумываться стал",Snom V,1
1083,оторваться,"   Вы её-то памятник видели?   Как, и на кладбище даже не были?   Ну, это вы зря",Snom V,1
1084,оторваться,   Надо сходить обязательно!   Таких и в Москве нет,Snom V,1
1085,оторваться,"   Понимаете, это так",Snom V,1
1086,оторваться,,Snom V,1
1087,оторваться,"-- Он оглянулся, подтянулся, вытянулся, вздохнул, сделал какое-то округлое движение, словно желая очертить всё разом, но сразу же и спал, повернулся к Зыбину и заговорил уже опять по-обыкновенному: -- Это, понимаете, так: на мраморной глыбине-- знаете, есть такой сорт мрамора с блёстками и лиловыми искрами -- стоит девушка, лёгкая-лёгкая, как воздух, и вот-вот взлетит",Snom V,1
1088,оторваться,,Snom V,1
1089,оторваться,,Snom V,1
1090,оторваться,"   Нет, никак не могу вам я это объяснить!   Но, правда, кажется, ещё минута -- и оторвалась, и туда, туда!   А одежда тянет к земле, к плите, к могиле -- одежда длинная, развевающаяся, вуаль, что ли?   А сама девушка тоненькая-тоненькая и руки как крылья!   Сюда, к морю!   А на глыбе стихи",Snom V,1
1091,повелеть, Сорванцов ,Snom V Vinf,2
1092,повелеть," [[ Я не знал , не ведал , как вдруг из моего цуга выпрягли четверню и велели ездить на паре ",Snom V Vinf,2
1093,повелеть,"]]  Этот удар так меня сразил , что я тотчас ускакал в деревню ",Snom V Vinf,2
1094,повелеть,"  Жил в ней долго , как человек отчаянный ",Snom V Vinf,2
1095,повелеть,  Наконец очнулся ,Snom V Vinf,2
1096,повелеть,"  Я дворянин , сказал я сам себе , я не создан терпеть унижении",Snom V Vinf,2
1097,повелеть,"  Я решился или умереть, или по-прежнему",Snom V Vinf,2
1098,определять,"  Наконец , нужно для отвращения в корыстолюбии подозрения , чтоб вы пред согражданами не сокрывали , с каким намерением прибыток от сего журнала получать желаете",Snom V Sacc к + Sdat,3
1099,определять,"  Почто не дать знать свету , что вы все выручаемые деньги от продажи сего журнала определили к содержанию училищ для бедных детей ? ",Snom V Sacc к + Sdat,3
1100,делиться,  Среди руководителей больших компаний одно время в моде было объявить о грандиозных планах в области электронного бизнеса -- такой проект символизировал их открытость и современность ,Snom V Sins с + Sins,3
1101,делиться,"  А безвестные сайты-каталоги с удовольствием называли себя B2B-проектами , чем добавляли себе солидности , столь недостающей виртуальному сектору ",Snom V Sins с + Sins,3
1102,делиться,"  Забавно, каждая из сторон пыталась использовать противоположную для улучшения своего имиджа ",Snom V Sins с + Sins,3
1103,делиться,"  Но сотрудничество промышленности и новой экономики продуктивно только тогда , когда электронный бизнес становится результатом оптимизации бизнес-процессов взаимодействующих предприятий ",Snom V Sins с + Sins,3
1104,делиться,"  Именно в этом случае получается механизм , позволяющий компаниям создавать существенную добавленную стоимость ,-- механизм , эффективный для экономики в целом ",Snom V Sins с + Sins,3
1105,делиться,  И именно в этом случае промышленность готова делиться с новой экономикой очень крупными суммами ,Snom V Sins с + Sins,3
1106,делиться, ,Snom V Sins с + Sins,3
1107,изучить,  Знакомство Лаврова с Ершовым состоялось ещё до появления Алгола- 60,Snom V Sacc,2
1108,изучить,"  Увлечённый проблемами автоматизации программирования , Лавров изучил работы Ершова , посвящённые технике трансляции , и нашёл возможность познакомиться с ним ",Snom V Sacc,2
1109,изучить,"  В то время Ершов , впоследствии возглавивший программистскую школу в Новосибирске , ещё работал в Москве ",Snom V Sacc,2
1110,изучить,"  Общение с Ершовым , который одной из основных проблем трансляции считал задачу экономии памяти , подтолкнуло Лаврова к разработке собственной теории оптимизации распределения памяти",Snom V Sacc,2
1111,изучить,"  В 1961 году вышла его работа , где предлагался формализованный подход к описанию задач распределения памяти , получивший название "" схемы Лаврова""",Snom V Sacc,2
1112,изучить, ,Snom V Sacc,2
1113,изучать,  Знакомство Лаврова с Ершовым состоялось ещё до появления Алгола- 60,Snom V Sacc,2
1114,изучать,"  Увлечённый проблемами автоматизации программирования , Лавров изучил работы Ершова , посвящённые технике трансляции , и нашёл возможность познакомиться с ним ",Snom V Sacc,2
1115,изучать,"  В то время Ершов , впоследствии возглавивший программистскую школу в Новосибирске , ещё работал в Москве ",Snom V Sacc,2
1116,изучать,"  Общение с Ершовым , который одной из основных проблем трансляции считал задачу экономии памяти , подтолкнуло Лаврова к разработке собственной теории оптимизации распределения памяти",Snom V Sacc,2
1117,изучать,"  В 1961 году вышла его работа , где предлагался формализованный подход к описанию задач распределения памяти , получивший название "" схемы Лаврова""",Snom V Sacc,2
1118,изучать, ,Snom V Sacc,2
1119,оценить,"опасных веществ », а батальон вовсю спасал « пострадавших », 19- й заприметили американцы , приглашённые посмотреть , как украинцы умеют работать ",Snom V Sacc,2
1120,оценить,"  Качество и скорость оценили , возможности запомнили",Snom V Sacc,2
1121,оценить,  И решили задействовать ,Snom V Sacc,2
1122,оценивать,"опасных веществ », а батальон вовсю спасал « пострадавших », 19- й заприметили американцы , приглашённые посмотреть , как украинцы умеют работать ",Snom V Sacc,2
1123,оценивать,"  Качество и скорость оценили , возможности запомнили",Snom V Sacc,2
1124,оценивать,  И решили задействовать ,Snom V Sacc,2
1125,вспыхнуть," -- А потому ,-- отвечает г-н Мавропулос ,-- потому что ",Snom V,1
1126,вспыхнуть,,Snom V,1
1127,вспыхнуть,,Snom V,1
1128,вспыхнуть,  Вот один простой пример ,Snom V,1
1129,вспыхнуть,"  Греция заплатила "" Росвооружению "" за обучение своих специалистов около 2 млрд драхм ( 1000 драхм составляют примерно 74 руб",Snom V,1
1130,вспыхнуть,"), а куда подевались эти огромные деньги ?  Оказалось , что в"" Учхозе "", где нас поселили , очень часто не было даже горячей воды , хотя греческая сторона полностью оплатила поставки дизельного топлива для котельной ",Snom V,1
1131,вспыхнуть,"  Когда однажды горячей воды не было пять дней подряд , то наш командир возмутился , позвонил военному атташе греческого посольства в Москву и сообщил , что если воду немедленно не дадут , то он собирает своих офицеров и уезжает назад в Грецию ",Snom V,1
1132,вспыхнуть,"  Вспыхнул дипломатический скандал "" росворы"" засуетились , и горячая вода для греческих офицеров наконец-то появилась ",Snom V,1
1133,вспыхнуть,"  Однако один туалет и один умывальник на восьмерых иностранных офицеров , живущих в Греции в собственных комфортабельных домах , скверное питание -- всё это цветочки",Snom V,1
1134,вспыхнуть,,Snom V,1
1135,вспыхнуть,,Snom V,1
1136,вспыхивать," -- А потому ,-- отвечает г-н Мавропулос ,-- потому что ",Snom V,1
1137,вспыхивать,,Snom V,1
1138,вспыхивать,,Snom V,1
1139,вспыхивать,  Вот один простой пример ,Snom V,1
1140,вспыхивать,"  Греция заплатила "" Росвооружению "" за обучение своих специалистов около 2 млрд драхм ( 1000 драхм составляют примерно 74 руб",Snom V,1
1141,вспыхивать,"), а куда подевались эти огромные деньги ?  Оказалось , что в"" Учхозе "", где нас поселили , очень часто не было даже горячей воды , хотя греческая сторона полностью оплатила поставки дизельного топлива для котельной ",Snom V,1
1142,вспыхивать,"  Когда однажды горячей воды не было пять дней подряд , то наш командир возмутился , позвонил военному атташе греческого посольства в Москву и сообщил , что если воду немедленно не дадут , то он собирает своих офицеров и уезжает назад в Грецию ",Snom V,1
1143,вспыхивать,"  Вспыхнул дипломатический скандал "" росворы"" засуетились , и горячая вода для греческих офицеров наконец-то появилась ",Snom V,1
1144,вспыхивать,"  Однако один туалет и один умывальник на восьмерых иностранных офицеров , живущих в Греции в собственных комфортабельных домах , скверное питание -- всё это цветочки",Snom V,1
1145,вспыхивать,,Snom V,1
1146,вспыхивать,,Snom V,1
1147,рассказать,  Артемов Евгений ,Snom V {Sacc / о + Sloc / Conj + CL / Rel + CL} Sdat,3
1148,рассказать,"  Женщина знает , когда начнётся война",Snom V {Sacc / о + Sloc / Conj + CL / Rel + CL} Sdat,3
1149,рассказать,  Буш рассказал президенту Латвии о своих планах ,Snom V {Sacc / о + Sloc / Conj + CL / Rel + CL} Sdat,3
1150,роль,"  Уж так повелось , что к новогоднему столу мы стараемся припасти побольше всевозможных деликатесов , разносолов и вкусностей ",Snom V Aacc роль,3
1151,роль,"  Все знаем , каких душевных и физических сил да и материальных затрат требует подобный марафон ",Snom V Aacc роль,3
1152,роль,"  А в результате вместо праздничного настроения усталость, неприятное чувство тяжести в желудке и огромное желание заснуть , не дожидаясь конца веселья ",Snom V Aacc роль,3
1153,роль,"  По-настоящему праздничный стол должен поразить воображение всех собравшихся за ним не обилием жирных, сладких , чересчур калорийных блюд , а красивым убранством и изысканной сервировкой , которая позволит насытиться даже взглядом",Snom V Aacc роль,3
1154,роль,  Только такое застолье сохранит для вас очарование и лёгкость волшебной ночи ,Snom V Aacc роль,3
1155,роль,"  Украсить новогодний стол и создать себе праздничное настроение не так сложно , как кажется",Snom V Aacc роль,3
1156,роль,  У вас наверняка найдётся под рукой всё необходимое,Snom V Aacc роль,3
1157,роль,  У торжественного застолья должен быть основной персонаж ,Snom V Aacc роль,3
1158,роль,"  Тот , что располагается в центре стола и не убирается в течение всего торжества ,-- пусть каждый насладится восхитительным зрелищем ",Snom V Aacc роль,3
1159,роль,"  Как правило , это букет из еловых веточек , разнаряженных блестящими шарами ",Snom V Aacc роль,3
1160,роль,  Мы же предлагаем другого главного героя ,Snom V Aacc роль,3
1161,роль,"  Он идеален , так как играет и декоративную , и"" съедобную "" роль",Snom V Aacc роль,3
1162,роль,  Рецепт кулинарного шедевра чрезвычайно прост,Snom V Aacc роль,3
1163,роль, ,Snom V Aacc роль,3
1164,вредить," Если просмотр эротических фильмов все время приводит мужчину к эрекции, а половой акт отсутствует, образуется застой крови, что, естественно, вредит здоровью",Snom V Sdat,2
1165,повредить," Если просмотр эротических фильмов все время приводит мужчину к эрекции, а половой акт отсутствует, образуется застой крови, что, естественно, вредит здоровью",Snom V Sdat,2
1166,навредить," Если просмотр эротических фильмов все время приводит мужчину к эрекции, а половой акт отсутствует, образуется застой крови, что, естественно, вредит здоровью",Snom V Sdat,2
1167,стремиться,"-- Ну да , действительно , нашли пророка !  Я старый грешник , дитя моё ,-- он засмеялся",Snom V к + Sdat,2
1168,стремиться," [[-- Старый грешник , который давно не верит ни во что хорошее , а вcё-таки стремится к добру , а где оно и что оно, никто на свете толком не знает ",Snom V к + Sdat,2
1169,стремиться,"]]  Тот подлый змий вcё-таки не солгал Еве , когда говорил , что только одному Господу Богу известно полностью",Snom V к + Sdat,2
1170,полюбоваться,"  Это был широкоплечий, статный человек",Snom V Sins,2
1171,полюбоваться,"   Даже рваная, грязная одежда не могла его по-настоящему изуродовать",Snom V Sins,2
1172,полюбоваться,"   Бурое лицо, худые мощные ключицы под распахнутой сорочкой, упругий, чёткий шаг",Snom V Sins,2
