,sentence,word,role,index
1597,Самым неожиданным проектом конверсии на Западе для меня оказалось перепрофилирование церквей под магазины и жильё.,я,benefactive,7.0
1598,Самым неожиданным проектом конверсии на Западе для меня оказалось перепрофилирование церквей под магазины и жильё.,перепрофилирование,theme,9.0
1599,"Недавно друг из Манчестера прислал мне фотографии новой квартиры своего отца, обустроенной в протестантской церкви конца XIX века.",друг,agent,1.0
1600,"Недавно друг из Манчестера прислал мне фотографии новой квартиры своего отца, обустроенной в протестантской церкви конца XIX века.",манчестер,place,3.0
1601,"Недавно друг из Манчестера прислал мне фотографии новой квартиры своего отца, обустроенной в протестантской церкви конца XIX века.",я,addressee,5.0
1602,"Недавно друг из Манчестера прислал мне фотографии новой квартиры своего отца, обустроенной в протестантской церкви конца XIX века.",квартира,theme,8.0
1603,"Недавно друг из Манчестера прислал мне фотографии новой квартиры своего отца, обустроенной в протестантской церкви конца XIX века.",конец,time,15.0
1605,В Британии часто сами прихожане и становятся владельцами сакральных апартаментов.,прихожанин,agent,4.0
1606,Красивейшим примером перепрофилирования культового здания стало превращение готического собора XIII века в голландском Маастрихте в громадный книжный супермаркет.,перепрофилирование,theme,2.0
1607,Красивейшим примером перепрофилирования культового здания стало превращение готического собора XIII века в голландском Маастрихте в громадный книжный супермаркет.,здание,theme,4.0
1608,Красивейшим примером перепрофилирования культового здания стало превращение готического собора XIII века в голландском Маастрихте в громадный книжный супермаркет.,превращение,patient,6.0
1609,Красивейшим примером перепрофилирования культового здания стало превращение готического собора XIII века в голландском Маастрихте в громадный книжный супермаркет.,век,time,10.0
1610,"Россия имеет свою трагическую историю повсеместной конверсии культовых зданий в деревенские клубы, амбары, склады, библиотеки и общежития.",россия,agent,0.0
1611,"Россия имеет свою трагическую историю повсеместной конверсии культовых зданий в деревенские клубы, амбары, склады, библиотеки и общежития.",конверсия,theme,6.0
1612,"Россия имеет свою трагическую историю повсеместной конверсии культовых зданий в деревенские клубы, амбары, склады, библиотеки и общежития.",здание,theme,8.0
1613,"Сейчас у нас церкви, наверное, единственные объекты, которые перепрофилированию подвергнуться не могут.",церковь,patient,3.0
1614,"В России приходы не сокращаются, а, напротив, стремительно растут, да и неофитское общество принять подобные метаморфозы вряд ли согласится.",приход,agent,2.0
1615,"В России приходы не сокращаются, а, напротив, стремительно растут, да и неофитское общество принять подобные метаморфозы вряд ли согласится.",общество,agent,12.0
1616,Зато за последние пять-семь лет в крупных городах страны утвердился процесс по приспособлению бывших промзон.,процесс,patient,10.0
1617,Зато за последние пять-семь лет в крупных городах страны утвердился процесс по приспособлению бывших промзон.,приспособление,goal,12.0
1619,"Москва, как важнейший дореволюционный центр промышленного производства и современный мегаполис, испытывающий нужду в офисных площадях в центре, занимает особое место в динамичном перепрофилировании индустриального прошлого.",москва,patient,0.0
1620,"Москва, как важнейший дореволюционный центр промышленного производства и современный мегаполис, испытывающий нужду в офисных площадях в центре, занимает особое место в динамичном перепрофилировании индустриального прошлого.",центр,subj_with_properties,4.0
1621,"Москва, как важнейший дореволюционный центр промышленного производства и современный мегаполис, испытывающий нужду в офисных площадях в центре, занимает особое место в динамичном перепрофилировании индустриального прошлого.",производство,theme,6.0
1622,"Москва, как важнейший дореволюционный центр промышленного производства и современный мегаполис, испытывающий нужду в офисных площадях в центре, занимает особое место в динамичном перепрофилировании индустриального прошлого.",мегаполис,subj_with_properties,9.0
1624,"Фабрики и заводы, часто располагающиеся на берегу реки и в центре города, выделяющиеся своим архитектурным разнообразием, становятся модными выставочными и театральными площадками, клубами, бизнес-центрами.",фабрика,patient,0.0
1625,"Фабрики и заводы, часто располагающиеся на берегу реки и в центре города, выделяющиеся своим архитектурным разнообразием, становятся модными выставочными и театральными площадками, клубами, бизнес-центрами.",завод,patient,2.0
1626,"Фабрики и заводы, часто располагающиеся на берегу реки и в центре города, выделяющиеся своим архитектурным разнообразием, становятся модными выставочными и театральными площадками, клубами, бизнес-центрами.",река,place,7.0
1627,"Фабрики и заводы, часто располагающиеся на берегу реки и в центре города, выделяющиеся своим архитектурным разнообразием, становятся модными выставочными и театральными площадками, клубами, бизнес-центрами.",город,place,11.0
1628,Самые известные московские проекты связаны с формированием публичного пространства.,проект,patient,3.0
1630,Крупные многопрофильные центры современного искусства — «Винзавод» (2007) и «Гараж» (2008) — продолжают притягивать всё больше и больше посетителей.,центр,agent,2.0
1631,Крупные многопрофильные центры современного искусства — «Винзавод» (2007) и «Гараж» (2008) — продолжают притягивать всё больше и больше посетителей.,искусство,theme,4.0
1632,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",инфраструктура,patient,4.0
1633,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",территория,place,6.0
1634,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",художник,theme,11.0
1635,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",магазин,agent,12.0
1636,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",книга,theme,13.0
1637,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",одежда,theme,15.0
1638,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",мастерская,agent,17.0
1639,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",ресторан,agent,18.0
1640,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",зал,agent,21.0
1641,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",россия,benefactive,26.0
1642,"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",созидание,theme,28.0
1644,"«Винзавод» и «Гараж», несомненно, коммерческие проекты с налаженной инфраструктурой не только для посетителей, но и для художников, экспонирующих свои работы на их пространствах. ",винзавод,theme,0.0
1645,"«Винзавод» и «Гараж», несомненно, коммерческие проекты с налаженной инфраструктурой не только для посетителей, но и для художников, экспонирующих свои работы на их пространствах. ",гараж,theme,2.0
1646,"«Винзавод» и «Гараж», несомненно, коммерческие проекты с налаженной инфраструктурой не только для посетителей, но и для художников, экспонирующих свои работы на их пространствах. ",посетитель,benefactive,12.0
1647,"«Винзавод» и «Гараж», несомненно, коммерческие проекты с налаженной инфраструктурой не только для посетителей, но и для художников, экспонирующих свои работы на их пространствах. ",художник,benefactive,16.0
1648,В иной концепции в 2004 году создавался центр творческих индустрий Пroekt_Fabrika на тёрритории фабрики по производству технических бумаг «Октябрь».,центр,patient,7.0
1649,В иной концепции в 2004 году создавался центр творческих индустрий Пroekt_Fabrika на тёрритории фабрики по производству технических бумаг «Октябрь».,территория,place,12.0
1650,В иной концепции в 2004 году создавался центр творческих индустрий Пroekt_Fabrika на тёрритории фабрики по производству технических бумаг «Октябрь».,фабрика,place,13.0
1651,В иной концепции в 2004 году создавался центр творческих индустрий Пroekt_Fabrika на тёрритории фабрики по производству технических бумаг «Октябрь».,производство,goal,15.0
1652,В иной концепции в 2004 году создавался центр творческих индустрий Пroekt_Fabrika на тёрритории фабрики по производству технических бумаг «Октябрь».,бумага,theme,17.0
1653,"Советские и дореволюционные корпуса с нарочито грубой кирпичной кладкой разделены на три сектора — часть занимает сохранившееся фабричное производство, остальная территория отдана под коммерческую аренду и культурное публичное пространство.",корпус,patient,3.0
1654,"Советские и дореволюционные корпуса с нарочито грубой кирпичной кладкой разделены на три сектора — часть занимает сохранившееся фабричное производство, остальная территория отдана под коммерческую аренду и культурное публичное пространство.",производство,agent,18.0
1655,"Советские и дореволюционные корпуса с нарочито грубой кирпичной кладкой разделены на три сектора — часть занимает сохранившееся фабричное производство, остальная территория отдана под коммерческую аренду и культурное публичное пространство.",территория,patient,20.0
1656,"«Сначала нам было важно, чтобы фабрика не прекращала работать, потом пришло осознание, что это специфика, которой ни у кого нет», — говорит директор Пroekt_Fabrika Ася Филиппова.",мы,experiencer,1.0
1657,"«Сначала нам было важно, чтобы фабрика не прекращала работать, потом пришло осознание, что это специфика, которой ни у кого нет», — говорит директор Пroekt_Fabrika Ася Филиппова.",фабрика,agent,5.0
1658,"«Сначала нам было важно, чтобы фабрика не прекращала работать, потом пришло осознание, что это специфика, которой ни у кого нет», — говорит директор Пroekt_Fabrika Ася Филиппова.",осознание,agent,11.0
1659,"«Сначала нам было важно, чтобы фабрика не прекращала работать, потом пришло осознание, что это специфика, которой ни у кого нет», — говорит директор Пroekt_Fabrika Ася Филиппова.",директор,agent,22.0
1660,"«Сначала нам было важно, чтобы фабрика не прекращала работать, потом пришло осознание, что это специфика, которой ни у кого нет», — говорит директор Пroekt_Fabrika Ася Филиппова.",ася,agent,24.0
1662,"Действительно, такой специфики нет ни у кого.",специфика,subj_with_properties,2.0
1663,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,художница,agent,3.0
1664,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,лиза,agent,4.0
1665,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,шмитц,agent,5.0
1666,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,свой,posessor,8.0
1667,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,выставка,theme,9.0
1668,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,работник,second_member,17.0
1669,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,фабрика,place,18.0
1670,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,они,agent,19.0
1671,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,она,recipient,21.0
1672,Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,инсталляция,goal,24.0
1673,Этот центр на Бауманской отличается демократичностью и лабораторным подходом к творческим проектам.,центр,agent,1.0
1674,"Иностранные художники, выставляющиеся в цехах, могут оставаться прямо на фабрике в специально созданных резиденциях.",художник,agent,1.0
1675,Площадка «Актовый зал» — место выступления независимых театральных коллективов и танцевальных групп.,площадка,theme,0.0
1676,Площадка «Актовый зал» — место выступления независимых театральных коллективов и танцевальных групп.,место,theme,4.0
1677,Площадка «Актовый зал» — место выступления независимых театральных коллективов и танцевальных групп.,выступление,goal,5.0
1678,Площадка «Актовый зал» — место выступления независимых театральных коллективов и танцевальных групп.,коллектив,theme,8.0
1680,"Корейская танцовщица Ханыль ждёт своего выступления, облокотившись на оранжевую кирпичную сцену:",танцовщица,agent,1.0
1681,"Корейская танцовщица Ханыль ждёт своего выступления, облокотившись на оранжевую кирпичную сцену:",ханыль,agent,2.0
1682,"Корейская танцовщица Ханыль ждёт своего выступления, облокотившись на оранжевую кирпичную сцену:",свой,posessor,4.0
1683,"Корейская танцовщица Ханыль ждёт своего выступления, облокотившись на оранжевую кирпичную сцену:",выступление,patient,5.0
1684,В Корее такого нет».,корея,place,1.0
1685,"Действительно, обстановка демократичная — на выставки вход бесплатный, а аренда помещений для культурных проектов осуществляется на льготных условиях.",аренда,agent,9.0
1686,"Действительно, обстановка демократичная — на выставки вход бесплатный, а аренда помещений для культурных проектов осуществляется на льготных условиях.",помещение,theme,10.0
1687,"Действительно, обстановка демократичная — на выставки вход бесплатный, а аренда помещений для культурных проектов осуществляется на льготных условиях.",проект,benefactive,13.0
1688,Хотя демократичный подход существует за счёт коммерческой аренды других помещений.,подход,patient,2.0
1690,"В целом проекты по перепрофилированию под публичные культурные пространства в Москве ненадёжны, недолговечны и часто даже убыточны.",перепрофилирование,goal,4.0
1691,Превращение «Красного Октября» из шоколадной фабрики в квартал дорогого жилья приостановилось из-за кризиса.,превращение,patient,0.0
1692,Превращение «Красного Октября» из шоколадной фабрики в квартал дорогого жилья приостановилось из-за кризиса.,фабрика,starting_point,5.0
1695,Правление «Красного Октября» приняло решение о временной сдаче некоторых площадей галереям.,правление,agent,0.0
1696,Правление «Красного Октября» приняло решение о временной сдаче некоторых площадей галереям.,площадь,theme,9.0
1698,"Одним из арендаторов оказалось выставочное пространство Baibakov Art Projects — успешная компания, занимающаяся экспонированием современного искусства.",арендатор,patient,2.0
1699,"Одним из арендаторов оказалось выставочное пространство Baibakov Art Projects — успешная компания, занимающаяся экспонированием современного искусства.",пространство,patient,5.0
1700,"«Пространство здесь прекрасное, — говорит директор по развитию Лиза Дегтярникова, — очень много света, большие окна, высокие потолки, широкие проёмы, которые позволяют экспонировать всё что угодно и как угодно».",пространство,theme,0.0
1701,"«Пространство здесь прекрасное, — говорит директор по развитию Лиза Дегтярникова, — очень много света, большие окна, высокие потолки, широкие проёмы, которые позволяют экспонировать всё что угодно и как угодно».",директор,agent,5.0
1702,"«Пространство здесь прекрасное, — говорит директор по развитию Лиза Дегтярникова, — очень много света, большие окна, высокие потолки, широкие проёмы, которые позволяют экспонировать всё что угодно и как угодно».",развитие,goal,7.0
1703,"«Пространство здесь прекрасное, — говорит директор по развитию Лиза Дегтярникова, — очень много света, большие окна, высокие потолки, широкие проёмы, которые позволяют экспонировать всё что угодно и как угодно».",лиза,agent,8.0
1705,"«Пространство здесь прекрасное, — говорит директор по развитию Лиза Дегтярникова, — очень много света, большие окна, высокие потолки, широкие проёмы, которые позволяют экспонировать всё что угодно и как угодно».",окно,patient,15.0
1706,"«Пространство здесь прекрасное, — говорит директор по развитию Лиза Дегтярникова, — очень много света, большие окна, высокие потолки, широкие проёмы, которые позволяют экспонировать всё что угодно и как угодно».",потолок,patient,17.0
1708,"Огромные размеры дореволюционных фабричных залов, захватывающий вид на Кремль и Пречистенскую набережную, а также островное местоположение делают «Красный Октябрь» уникальным местом в Москве.",размер,agent,1.0
1709,"Огромные размеры дореволюционных фабричных залов, захватывающий вид на Кремль и Пречистенскую набережную, а также островное местоположение делают «Красный Октябрь» уникальным местом в Москве.",зал,theme,4.0
1710,"Огромные размеры дореволюционных фабричных залов, захватывающий вид на Кремль и Пречистенскую набережную, а также островное местоположение делают «Красный Октябрь» уникальным местом в Москве.",местоположение,agent,15.0
1711,"С оживлением экономической жизни в стране публичное пространство спустится на первые этажи, а территория «Красного Октября» с сохранёнными фабричными корпусами превратится, по словам заместителя генерального директора «Гута-Деволпмент» Антона Чернова, в «высококлассный микрорайон».",пространство,patient,7.0
1712,"С оживлением экономической жизни в стране публичное пространство спустится на первые этажи, а территория «Красного Октября» с сохранёнными фабричными корпусами превратится, по словам заместителя генерального директора «Гута-Деволпмент» Антона Чернова, в «высококлассный микрорайон».",территория,patient,13.0
1713,"С оживлением экономической жизни в стране публичное пространство спустится на первые этажи, а территория «Красного Октября» с сохранёнными фабричными корпусами превратится, по словам заместителя генерального директора «Гута-Деволпмент» Антона Чернова, в «высококлассный микрорайон».",директор,posessor,25.0
1714,"В случае с «Красным Октябрём» перепрофилирование под жилой комплекс, наверное, самое выгодное решение: производство шоколада не загрязнило территорию и сооружения, жилые помещения будут далеки от типовых, а Яуза и Москва-река создадут иллюзию средневекового замка, окружённого рвом.",перепрофилирование,goal,5.0
1715,"В случае с «Красным Октябрём» перепрофилирование под жилой комплекс, наверное, самое выгодное решение: производство шоколада не загрязнило территорию и сооружения, жилые помещения будут далеки от типовых, а Яуза и Москва-река создадут иллюзию средневекового замка, окружённого рвом.",производство,agent,13.0
1716,"В случае с «Красным Октябрём» перепрофилирование под жилой комплекс, наверное, самое выгодное решение: производство шоколада не загрязнило территорию и сооружения, жилые помещения будут далеки от типовых, а Яуза и Москва-река создадут иллюзию средневекового замка, окружённого рвом.",шоколад,theme,14.0
1717,"В случае с «Красным Октябрём» перепрофилирование под жилой комплекс, наверное, самое выгодное решение: производство шоколада не загрязнило территорию и сооружения, жилые помещения будут далеки от типовых, а Яуза и Москва-река создадут иллюзию средневекового замка, окружённого рвом.",помещение,subj_with_properties,21.0
1718,"В случае с «Красным Октябрём» перепрофилирование под жилой комплекс, наверное, самое выгодное решение: производство шоколада не загрязнило территорию и сооружения, жилые помещения будут далеки от типовых, а Яуза и Москва-река создадут иллюзию средневекового замка, окружённого рвом.",яуза,agent,27.0
1720,"В случае с «Красным Октябрём» перепрофилирование под жилой комплекс, наверное, самое выгодное решение: производство шоколада не загрязнило территорию и сооружения, жилые помещения будут далеки от типовых, а Яуза и Москва-река создадут иллюзию средневекового замка, окружённого рвом.",замок,theme,33.0
1721,"Антон Чернов подтвердил, что сохранение исторического облика фабрики предусматривается уже утверждённым проектом по конверсии.",антон,agent,0.0
1722,"Антон Чернов подтвердил, что сохранение исторического облика фабрики предусматривается уже утверждённым проектом по конверсии.",чернов,agent,1.0
1723,"Антон Чернов подтвердил, что сохранение исторического облика фабрики предусматривается уже утверждённым проектом по конверсии.",сохранение,patient,4.0
1724,"Антон Чернов подтвердил, что сохранение исторического облика фабрики предусматривается уже утверждённым проектом по конверсии.",облик,theme,6.0
1725,"Антон Чернов подтвердил, что сохранение исторического облика фабрики предусматривается уже утверждённым проектом по конверсии.",фабрика,theme,7.0
1727,"Значит, существует надежда, что «Золотой остров» не пойдёт разрушительным путём «Золотой мили».",надежда,subj_with_properties,2.0
1728,"Значит, существует надежда, что «Золотой остров» не пойдёт разрушительным путём «Золотой мили».",золотой,agent,4.0
1729,"Значит, существует надежда, что «Золотой остров» не пойдёт разрушительным путём «Золотой мили».",остров,agent,5.0
1730,"Самым ярким примером поражения творческих проектов и победы бизнеса стала ликвидация центра дизайна Artplay на улице Тимура Фрунзе, где помещения бывшей шёлковой фабрики «Красная Роза» арендовали архитекторы, журналисты и дизайнеры.",поражение,theme,3.0
1731,"Самым ярким примером поражения творческих проектов и победы бизнеса стала ликвидация центра дизайна Artplay на улице Тимура Фрунзе, где помещения бывшей шёлковой фабрики «Красная Роза» арендовали архитекторы, журналисты и дизайнеры.",ликвидация,patient,10.0
1733,"Самым ярким примером поражения творческих проектов и победы бизнеса стала ликвидация центра дизайна Artplay на улице Тимура Фрунзе, где помещения бывшей шёлковой фабрики «Красная Роза» арендовали архитекторы, журналисты и дизайнеры.",роза,second_member,24.0
1734,"Самым ярким примером поражения творческих проектов и победы бизнеса стала ликвидация центра дизайна Artplay на улице Тимура Фрунзе, где помещения бывшей шёлковой фабрики «Красная Роза» арендовали архитекторы, журналисты и дизайнеры.",архитектор,agent,26.0
1735,"Самым ярким примером поражения творческих проектов и победы бизнеса стала ликвидация центра дизайна Artplay на улице Тимура Фрунзе, где помещения бывшей шёлковой фабрики «Красная Роза» арендовали архитекторы, журналисты и дизайнеры.",журналист,agent,27.0
1737,Здесь же проходили выставки и размещался известный клуб Keks.,выставка,patient,3.0
1738,Здесь же проходили выставки и размещался известный клуб Keks.,клуб,patient,7.0
1739,"Александр Подусков, заместитель директора департамента управления по аренде компании KR Properties, занимающейся конверсией и владеющей всей бывшей фабрикой, объяснил решение по сносу дореволюционного здания тем, что корпус не был предусмотрен для длительного использования — стеклянные пирамидальные потолки, построенные так, чтобы максимальное количество света падало на руки ткачих, создавали протечки и разрушали саму конструкцию.",александр,agent,0.0
