,Unnamed: 0,sentence,word,role,index,rel,head_id,head_text
722,910,Принятие решения об организации в рамках министерства энергетики сети центров передовых энергетических исследований в области энергетики и начало работы Агентства передовых исследований в области энергетики (ARPA-E) — одни из первых серьезных шагов по достижению поставленной Обамой цели.,начало,theme,17.0,conj,29,одни
724,912,"Правительство помогает регионам, а они жалуются",правительство,agent,0.0,nsubj,1,помогает
725,913,"Правительство помогает регионам, а они жалуются",регион,addressee,2.0,iobj,1,помогает
726,914,"Как сообщили «Ведомости», правительство внесло в Госдуму пакет поправок в законодательство по помощи регионам в связи с потерями, которые они несут из-за кризиса.",правительство,agent,3.0,nsubj,7,внесло
731,921,"Однако налоговые доходы регионов, по данным Минфина, могут снизиться в 2009 году на 700—800 млрд рублей.",доход,patient,2.0,nsubj,9,могут
732,922,"Доходы от налога на прибыль снизятся на 25—30%, от подоходного — на 5—10% .",доход,patient,0.0,nsubj,5,снизятся
733,923,"Еще около 100 млрд рублей регионы потеряют из-за налоговых нововведений — снижения налога на прибыль с 24 до 20%, увеличения предельной амортизационной премии с 10 до 30% (по 3—7-й амортизационным группам) и имущественного вычета при покупке квартиры с 1 млн до 2 млн рублей.",регион,agent,5.0,nsubj,6,потеряют
734,924,"Еще около 100 млрд рублей регионы потеряют из-за налоговых нововведений — снижения налога на прибыль с 24 до 20%, увеличения предельной амортизационной премии с 10 до 30% (по 3—7-й амортизационным группам) и имущественного вычета при покупке квартиры с 1 млн до 2 млн рублей.",нововведение,causator,9.0,obl,6,потеряют
738,928,"Поправки передают регионам 0,5% налога на прибыль (их доля вырастет с 17,5 до 18%) и 100% акцизов на горюче-смазочные материалы (сейчас — 60%).",поправка,agent,0.0,nsubj,1,передают
740,930,"Губернатор Пермского края Олег Чиркунов поддерживает передачу налогов, «но этих средств не хватит для восстановления предкризисного уровня».",губернатор,experiencer,0.0,nsubj,5,поддерживает
743,934,"Губернатор Пермского края Олег Чиркунов поддерживает передачу налогов, «но этих средств не хватит для восстановления предкризисного уровня».",восстановление,benefactive,14.0,obl,14,хватит
744,935,"Бюджет края на следующий год уже пересмотрен, отметил Чиркунов: доходная часть снижена на 35%, половина этой суммы выпадает из-за снижения поступлений налога на прибыль.",бюджет,patient,0.0,nsubj,21,выпадает
748,939,"Бюджет края на следующий год уже пересмотрен, отметил Чиркунов: доходная часть снижена на 35%, половина этой суммы выпадает из-за снижения поступлений налога на прибыль.",снижение,causator,19.0,obl,21,выпадает
749,940,"Директор Института региональных финансов Булат Столяров допускает, что выпадающие доходы регионов могут достигнуть 1,5 трлн рублей.",директор,experiencer,0.0,nsubj,6,допускает
752,943,"Директор Института региональных финансов Булат Столяров допускает, что выпадающие доходы регионов могут достигнуть 1,5 трлн рублей.",доход,patient,9.0,nsubj,12,могут
756,948,"В следующем году у предприятий прибыли почти не будет, говорит он, стоило бы передать регионам часть НДС, а не налога на прибыль.",регион,addressee,14.0,iobj,15,передать
758,950,"Кроме того, в ближайшее время будут подготовлены поправки в Бюджетный кодекс, разрешающие регионам предоставлять гарантии по банковским кредитам в размере 50—70%, рассказал вице-премьер Алексей Кудрин.",поправка,patient,7.0,nsubj:pass,7,подготовлены
760,955,"Однако реальная глубина кризиса, охватившего российские промышленные районы, непонятна до конца и правительству.",глубина,patient,2.0,nsubj,10,непонятна
762,958,"Екатеринбургский сайт URA.Ru публикует сенсационные материалы о ситуации на уральских предприятиях, составленные профсоюзными организациями.",сайт,agent,1.0,nsubj,5,публикует
763,959,"Из них следует, что кризис ударил Свердловскую область под дых.",кризис,agent,4.0,nsubj,6,ударил
766,963,До сегодняшнего дня экономический кризис на Урале не имел своего лица.,кризис,patient,4.0,nsubj,8,имел
767,964,"Да, региональные власти раньше федеральных признали серьезные проблемы на заводах, но иначе и быть не могло — свердловское правительство физически ближе к директорам предприятий и рабочим металлургических предприятий, моментально почувствовавшим неладное.",власть,agent,2.0,nsubj,6,признали
768,965,"Да, региональные власти раньше федеральных признали серьезные проблемы на заводах, но иначе и быть не могло — свердловское правительство физически ближе к директорам предприятий и рабочим металлургических предприятий, моментально почувствовавшим неладное.",правительство,causator,18.0,nsubj,6,признали
769,966,"Да, региональные власти раньше федеральных признали серьезные проблемы на заводах, но иначе и быть не могло — свердловское правительство физически ближе к директорам предприятий и рабочим металлургических предприятий, моментально почувствовавшим неладное.",директор,place,22.0,obl,22,ближе
771,968,"Впрочем, даже в этой ситуации уральские политики старались сохранить лицо, советуя перетерпеть и переждать.",политик,agent,6.0,nsubj,8,старались
777,974,"Это значит, что ячейки ФПСО отзвонились в Екатеринбург и рассказали руководству региональной федерации, что происходит на местах.",ячейка,agent,3.0,nsubj,6,отзвонились
781,978,"В той информации, которой мы обладаем, описана ситуация на 46 заводах, но в нее попали и самые крупные предприятия (НТМК, Уралмашзавод и т.д.).",ситуация,patient,7.0,nsubj:pass,8,описана
785,982,"На 12 предприятиях (25%) уже появилась задолженность по заработной плате, на 13 либо уже проведены, либо в январе-феврале 2009 года начнутся сокращения рабочих.",задолженность,patient,6.0,nsubj,8,появилась
788,985,"На 12 предприятиях (25%) уже появилась задолженность по заработной плате, на 13 либо уже проведены, либо в январе-феврале 2009 года начнутся сокращения рабочих.",сокращение,patient,21.0,nsubj,25,начнутся
789,986,"Лишь единицы заводов не изменили графика работы, большинство же сократили и рабочую неделю, и рабочий день.",единица,agent,1.0,nsubj,10,сократили
790,987,"Лишь единицы заводов не изменили графика работы, большинство же сократили и рабочую неделю, и рабочий день.",график,patient,5.0,obj,4,изменили
792,989,"Лишь единицы заводов не изменили графика работы, большинство же сократили и рабочую неделю, и рабочий день.",большинство,agent,7.0,nsubj,10,сократили
793,990,"Профсоюзы отмечают и нарушения: «Фанком» сократил раздел коллективного договора «Социальные гарантии», Уральская гидрогеологическая экспедиция не согласовала приказ об изменении режима рабочего времени с профкомом, на Буланашском машзаводе 51 человек уволен якобы по собственному желанию».",профсоюз,agent,0.0,nsubj,1,отмечают
796,994,Но самое неприятное впереди — с января предприятия-гиганты обещают сократить средний размер заработной платы.,январь,time,6.0,obl,8,обещают
801,1003,"Если остановить конвейер АвтоВАЗа прямо сейчас, уже произведенных автомобилей может хватить до середины осени этого года.",автомобиль,patient,8.0,obl,10,может
802,1004,"Если остановить конвейер АвтоВАЗа прямо сейчас, уже произведенных автомобилей может хватить до середины осени этого года.",середина,time,12.0,obl,11,хватить
805,1009,"По информации Ассоциации европейского бизнеса, кошмар с продажами для автопроизводителей только усугубляется — новых автомобилей в России продали на 47% меньше в марте 2009 года и на 40% — в первом квартале 2009 года по сравнению с прошлогодними ориентирами.",кошмар,patient,5.0,obj,18,продали
809,1014,«Первый квартал этого года продемонстрировал продолжающееся и нарастающее снижение продаж автомобилей в России по сравнению с тем же периодом в прошлом году.,квартал,agent,1.0,nsubj,5,продемонстрировал
812,1017,"Причины данного серьезного падения рынка уже были отмечены нами ранее: ограничение доступности кредитных ресурсов, высокие процентные ставки по кредитам, девальвация рубля и повышение таможенных пошлин, в совокупности повлекшие за собой повышение цен, объявленное недавно многими марками»,",ограничение,theme,10.0,nsubj:pass,7,отмечены
819,1024,— комментирует председатель комитета автопроизводителей АЕБ Дэвид Томас.,председатель,agent,2.0,nsubj,1,комментирует
822,1028,"Продажи автомобилей марки Lada в марте упали чуть меньше рынка — на 42% (за квартал упали на 39%), впрочем, это не улучшает тревожного состояния АвтоВАЗа, да еще и в преддверии традиционного сезонного спада.",продажа,patient,0.0,nsubj,27,улучшает
823,1029,"Продажи автомобилей марки Lada в марте упали чуть меньше рынка — на 42% (за квартал упали на 39%), впрочем, это не улучшает тревожного состояния АвтоВАЗа, да еще и в преддверии традиционного сезонного спада.",состояние,patient,23.0,obj,27,улучшает
829,1036,"Если АвтоВАЗ не будет предпринимать решительных действий по кардинальному уменьшению затрат, то, исходя из ориентировочной выручки завода в 160 млрд рублей в 2008 году, в этом он рискует недосчитаться порядка 65 млрд рублей.",автоваз,agent,1.0,nsubj,4,предпринимать
830,1037,"Если АвтоВАЗ не будет предпринимать решительных действий по кардинальному уменьшению затрат, то, исходя из ориентировочной выручки завода в 160 млрд рублей в 2008 году, в этом он рискует недосчитаться порядка 65 млрд рублей.",действие,patient,6.0,obj,4,предпринимать
834,1041,"Если АвтоВАЗ не будет предпринимать решительных действий по кардинальному уменьшению затрат, то, исходя из ориентировочной выручки завода в 160 млрд рублей в 2008 году, в этом он рискует недосчитаться порядка 65 млрд рублей.",он,agent,26.0,nsubj,30,рискует
840,1050,"Все помнят, как в конце 2005 года АвтоВАЗ перешел под контроль государства.",автоваз,patient,7.0,nsubj,9,перешел
841,1052,"Вскоре после этого волнующего события было заявлено о начавшейся разработке принципиально новой для российской действительности модели автомобиля с таинственным, но интригующим названием «проект С».",событие,time,4.0,nsubj:pass,6,заявлено
843,1054,"Макет машины выставлялся даже на мировых автосалонах, а ее массовое производство должно было начаться чуть ли не в 2008 году.",макет,patient,0.0,nsubj:pass,2,выставлялся
847,1058,"Вероятно, таким образом новые управленцы хотели доказать всему миру, что не зря едят свой хлеб, смотрите, мол, мы — спасители, делом тут занимаемся, не то что прежнее руководство.",мир,benefactive,8.0,iobj,7,доказать
848,1059,"Хотя мало кто знает, что «проект С» начал разрабатываться еще при Владимире Каданникове (бывший президент — генеральный директор АвтоВАЗа), а тот самый макет «новой модели» с того самого автосалона, по словам старожилов завода, успел покрыться толстым слоем пыли в лабораториях НТЦ еще задолго до прихода менеджеров «Рособоронэкспорта».",проект,patient,5.0,nsubj,10,начал
849,1060,"Хотя мало кто знает, что «проект С» начал разрабатываться еще при Владимире Каданникове (бывший президент — генеральный директор АвтоВАЗа), а тот самый макет «новой модели» с того самого автосалона, по словам старожилов завода, успел покрыться толстым слоем пыли в лабораториях НТЦ еще задолго до прихода менеджеров «Рособоронэкспорта».",макет,patient,22.0,nsubj,43,успел
855,1068,"Суперкара АвтоВАЗа до сих пор нет, громкие заявления остались пустыми словами.",заявление,patient,7.0,nsubj,9,остались
856,1069,"Как за сюжетом бразильского сериала, позже вся Россия следила за переговорами АвтоВАЗа с канадским концерном Magna.",россия,agent,7.0,nsubj,9,следила
858,1071,По ходу событий заявления о совместных планах лились как из дырявого ведра.,ход,time,1.0,obl,7,лились
861,1074,"Так продолжалось два года, но заявления опять остались пустыми словами.",год,time,3.0,obl,1,продолжалось
863,1076,Никакого нового автозавода в Тольятти никто не построил.,автозавод,causator,2.0,obj,7,построил
864,1077,Никакого нового автозавода в Тольятти никто не построил.,никто,agent,5.0,nsubj,7,построил
865,1078,Никаких новых платформ переговоры с Magna не принесли.,платформа,patient,2.0,obj,7,принесли
866,1079,Никаких новых платформ переговоры с Magna не принесли.,переговоры,agent,3.0,nsubj,7,принесли
867,1081,"Сейчас мы слышим вроде бы новую, но очень знакомую песню.",мы,experiencer,1.0,nsubj,2,слышим
870,1084,В начале текущего месяца АвтоВАЗ подписал договор о намерениях с банком «Сосьете Женераль Восток» (BSGV) о предоставлении кредита на выкуп у Renault лицензий на производство автомобилей на платформах пяти- и семиместных универсалов R90 и фургона F90.,автоваз,agent,4.0,nsubj,5,подписал
874,1089,"По словам президента завода Бориса Алешина, в производство новые модели поступят в конце 2011 года.",модель,patient,9.0,nsubj,11,поступят
876,1092,"В начале прошлой недели АвтоВАЗ объявил о том, что закупаемые автомобили уже испытываются на российских дорогах.",автоваз,agent,4.0,nsubj,5,объявил
878,1094,"Специалисты сейчас в один голос заявляют, что, с одной стороны, кризис АвтоВАЗу помогут пережить новые модели, так как главной проблемой завода является низкий спрос на его продукцию.",специалист,agent,0.0,nsubj,5,заявляют
879,1095,"Специалисты сейчас в один голос заявляют, что, с одной стороны, кризис АвтоВАЗу помогут пережить новые модели, так как главной проблемой завода является низкий спрос на его продукцию.",автоваз,experiencer,11.0,iobj,15,помогут
880,1096,"Специалисты сейчас в один голос заявляют, что, с одной стороны, кризис АвтоВАЗу помогут пережить новые модели, так как главной проблемой завода является низкий спрос на его продукцию.",модель,agent,15.0,obj,16,пережить
883,1102,"ВАЗ-2108 в 1984 году тоже называли новой моделью, хотя по международным меркам она устарела, не успев сойти с конвейера.",она,patient,12.0,nsubj,14,устарела
889,1109,Вот планы АвтоВАЗа на ближайшие три года в целом.,план,theme,1.0,nsubj,0,Вот
892,1112,"«Обновление существующего модельного ряда: в 2009 году будет поставлен на производство автомобиль Lada Priora универсал; выпуск в 2009 году модернизированного автомобиля Lada 4х4; выпуск с 2011 года нового 5-, 7-местного универсала и фургона на платформе Renault; выпуск в 2011 году бюджетного автомобиля; выпуск с 2011—2012 годов новых семейств автомобилей классов С и B соответственно; выпуск кроссовера на платформе автомобиля класса С в 2012 году».",обновление,theme,0.0,nsubj:pass,10,поставлен
893,1113,"«Обновление существующего модельного ряда: в 2009 году будет поставлен на производство автомобиль Lada Priora универсал; выпуск в 2009 году модернизированного автомобиля Lada 4х4; выпуск с 2011 года нового 5-, 7-местного универсала и фургона на платформе Renault; выпуск в 2011 году бюджетного автомобиля; выпуск с 2011—2012 годов новых семейств автомобилей классов С и B соответственно; выпуск кроссовера на платформе автомобиля класса С в 2012 году».",автомобиль,patient,11.0,nsubj:pass,10,поставлен
894,1114,"«Обновление существующего модельного ряда: в 2009 году будет поставлен на производство автомобиль Lada Priora универсал; выпуск в 2009 году модернизированного автомобиля Lada 4х4; выпуск с 2011 года нового 5-, 7-местного универсала и фургона на платформе Renault; выпуск в 2011 году бюджетного автомобиля; выпуск с 2011—2012 годов новых семейств автомобилей классов С и B соответственно; выпуск кроссовера на платформе автомобиля класса С в 2012 году».",выпуск,theme,15.0,nsubj:pass,10,поставлен
895,1115,"«Обновление существующего модельного ряда: в 2009 году будет поставлен на производство автомобиль Lada Priora универсал; выпуск в 2009 году модернизированного автомобиля Lada 4х4; выпуск с 2011 года нового 5-, 7-местного универсала и фургона на платформе Renault; выпуск в 2011 году бюджетного автомобиля; выпуск с 2011—2012 годов новых семейств автомобилей классов С и B соответственно; выпуск кроссовера на платформе автомобиля класса С в 2012 году».",выпуск,theme,15.0,nsubj:pass,10,поставлен
896,1116,"«Обновление существующего модельного ряда: в 2009 году будет поставлен на производство автомобиль Lada Priora универсал; выпуск в 2009 году модернизированного автомобиля Lada 4х4; выпуск с 2011 года нового 5-, 7-местного универсала и фургона на платформе Renault; выпуск в 2011 году бюджетного автомобиля; выпуск с 2011—2012 годов новых семейств автомобилей классов С и B соответственно; выпуск кроссовера на платформе автомобиля класса С в 2012 году».",год,time,6.0,obl,10,поставлен
897,1117,"«Обновление существующего модельного ряда: в 2009 году будет поставлен на производство автомобиль Lada Priora универсал; выпуск в 2009 году модернизированного автомобиля Lada 4х4; выпуск с 2011 года нового 5-, 7-местного универсала и фургона на платформе Renault; выпуск в 2011 году бюджетного автомобиля; выпуск с 2011—2012 годов новых семейств автомобилей классов С и B соответственно; выпуск кроссовера на платформе автомобиля класса С в 2012 году».",выпуск,theme,15.0,nsubj:pass,10,поставлен
898,1118,"«Обновление существующего модельного ряда: в 2009 году будет поставлен на производство автомобиль Lada Priora универсал; выпуск в 2009 году модернизированного автомобиля Lada 4х4; выпуск с 2011 года нового 5-, 7-местного универсала и фургона на платформе Renault; выпуск в 2011 году бюджетного автомобиля; выпуск с 2011—2012 годов новых семейств автомобилей классов С и B соответственно; выпуск кроссовера на платформе автомобиля класса С в 2012 году».",выпуск,theme,15.0,nsubj:pass,10,поставлен
899,1119,"«Обновление существующего модельного ряда: в 2009 году будет поставлен на производство автомобиль Lada Priora универсал; выпуск в 2009 году модернизированного автомобиля Lada 4х4; выпуск с 2011 года нового 5-, 7-местного универсала и фургона на платформе Renault; выпуск в 2011 году бюджетного автомобиля; выпуск с 2011—2012 годов новых семейств автомобилей классов С и B соответственно; выпуск кроссовера на платформе автомобиля класса С в 2012 году».",выпуск,theme,15.0,nsubj:pass,10,поставлен
901,1122,"То есть ни одной принципиально новой модели, что, по мнению аналитиков, могло бы повысить спрос на продукцию АвтоВАЗа и спасти его от кризиса, мы не увидим.",мы,experiencer,23.0,nsubj,29,увидим
903,1125,"Государственное управление в сферах с малой маржей обречено на провал — нет откатного жирка, сливок не снимешь.",управление,patient,1.0,nsubj,7,обречено
905,1130,"Константин Сонин, обозреватель «Ведомостей», метко высказался в своем ЖЖ на эту тему:",константин,agent,0.0,nsubj,9,высказался
908,1133,"«Самый «рыночный» выпускник бизнес-школы, став директором АвтоВАЗа, ответственным за жителей миллионного Тольятти, станет инвестировать не в производство, а в лоббирование импортных тарифов и других форм господдержки.",выпускник,agent,2.0,nsubj,18,станет
909,1134,"Потому что экономика управляется стимулами, а отдача от лоббирования выше, чем от производства.",экономика,patient,2.0,nsubj,3,управляется
910,1135,"Накопленные связи «Рособоронэкспорта» только увеличивают отдачу от лоббирования, то есть снижают стимулы инвестировать что-то в производство».",связь,agent,1.0,nsubj,6,увеличивают
915,1142,Но в продажу автомобиль поступит не раньше 2011 года.,автомобиль,patient,3.0,nsubj,4,поступит
919,1150,Мнения эти отличаются только разной степенью радикальности.,мнение,patient,0.0,nsubj,2,отличаются
920,1151,"Например, независимый аналитик Артем Ейсков в своем блоге предлагает такой выход:",аналитик,agent,2.0,nsubj,9,предлагает
922,1157,"«Автомобильная отрасль сейчас в очень сложной ситуации, — осторожно полагает директор аналитического агентства «Автостат» Сергей Целиков.",отрасль,patient,1.0,obj,11,полагает
923,1158,"«Автомобильная отрасль сейчас в очень сложной ситуации, — осторожно полагает директор аналитического агентства «Автостат» Сергей Целиков.",директор,agent,10.0,nsubj,11,полагает
930,1167,"А надо было бы сделать наоборот, как делают Германия, Китай, Индия, которые поддерживают внутренний рынок за счет стимулирования спроса через конечного потребителя».",стимулирование,causator,17.0,obl,16,поддерживают
931,1168,Константин Сонин предлагает так решить судьбу АвтоВАЗа:,константин,agent,0.0,nsubj,2,предлагает
936,1178,Директор по макроэкономическим исследованиям ВШЭ Сергей Алексашенко в блоге предлагает:,директор,agent,0.0,nsubj,9,предлагает
942,1185,"3) 26 млрд рублей выделить потребителям, то есть российским покупателям этих машин, сделав их дешевле.",потребитель,addressee,5.0,iobj,5,выделить
945,1188,"Нехитрое арифметическое действие (поделить 26 млрд рублей на 500 тыс. машин, которые могут быть проданы в России) показывает, что для покупателя цена машины упадет на 52 тыс. рублей (на 20% в среднем, на 16—30% в зависимости от модели);",действие,agent,2.0,nsubj,21,показывает
946,1189,"Нехитрое арифметическое действие (поделить 26 млрд рублей на 500 тыс. машин, которые могут быть проданы в России) показывает, что для покупателя цена машины упадет на 52 тыс. рублей (на 20% в среднем, на 16—30% в зависимости от модели);",покупатель,benefactive,20.0,obl,28,упадет
947,1190,"Нехитрое арифметическое действие (поделить 26 млрд рублей на 500 тыс. машин, которые могут быть проданы в России) показывает, что для покупателя цена машины упадет на 52 тыс. рублей (на 20% в среднем, на 16—30% в зависимости от модели);",цена,patient,21.0,nsubj,28,упадет
948,1191,"Нехитрое арифметическое действие (поделить 26 млрд рублей на 500 тыс. машин, которые могут быть проданы в России) показывает, что для покупателя цена машины упадет на 52 тыс. рублей (на 20% в среднем, на 16—30% в зависимости от модели);",машина,posessor,10.0,obl,28,упадет
952,1197,"5) разрешить ВАЗу сократить ВСЕХ избыточных работников, которым за счет бюджета в течение трех лет будут выплачиваться специальные субсидии в размере пособия по безработице (то есть получится двойное пособие, то есть 10 тыс. рублей в месяц).",субсидия,patient,18.0,nsubj:pass,18,выплачиваться
955,1200,"Это означает, что дополнительные расходы бюджета составят 3 млрд рублей в год;",расход,patient,4.0,nsubj,7,составят
958,1203,"6) если окажется, что ВАЗ не сможет (не захочет, не сумеет) перестроить свой бизнес так, чтобы оказаться прибыльным и устойчивым, то «Ростехнологии» должны продать свой 25-процентный пакет другому акционеру, компании Renault, за 1 рубль, а Российская Федерация должна заплатить Renault тот самый миллиард долларов, который Renault заплатил за свой пакет, и разрешить делать с этим заводом всё что угодно.",акционер,addressee,28.0,iobj,50,заплатить
961,1206,"Пока же получать госпомощь выгоднее авральной и не всегда приятной работы по снижению издержек, увольнению тысяч людей, вычищения клоаки посредников, увеличивающих себестоимость.",работа,patient,10.0,nsubj,4,выгоднее
966,1211,"Ситуация с АвтоВАЗом похожа на «Титаник»: пробоина есть, но вроде бы смертельного ажиотажа вокруг шлюпок (госпомощи) не наблюдается — всем умирающим хватает.",ситуация,theme,0.0,nsubj:pass,23,наблюдается
968,1213,"Ситуация с АвтоВАЗом похожа на «Титаник»: пробоина есть, но вроде бы смертельного ажиотажа вокруг шлюпок (госпомощи) не наблюдается — всем умирающим хватает.",ажиотаж,causator,12.0,nsubj:pass,23,наблюдается
972,1217,"Агрессия НАТО против Югославии, случившаяся 10 лет назад (23 марта — 10 июня 1999 года), вызвала в России очень сильную эмоциональную реакцию и, как у нас водится, подверглась сильнейшей мифологизации.",агрессия,agent,0.0,nsubj,19,вызвала
978,1224,"В итоге, как это ни парадоксально, некоторые полезные выводы политического и военного характера не сделаны до сих пор.",вывод,patient,8.0,nsubj:pass,16,сделаны
985,1233,Однако югославская война совсем никаким боком не лезет в нефтяную теорию.,война,patient,2.0,nsubj,7,лезет
986,1234,"Здесь нет ни нефти, ни газа, ни даже какого-нибудь паршивенького транзитного трубопровода.",нефть,causator,3.0,nsubj,1,нет
988,1237,Не проходит и вспомогательная теория о получении «плацдарма на Балканах».,теория,patient,4.0,nsubj,1,проходит
989,1239,"У НАТО и без Югославии давно нет проблем с плацдармами на Балканах, тем более что территория и инфраструктура Косова в этом плане не дает им абсолютно ничего эксклюзивного.",территория,patient,15.0,nsubj,24,дает
997,1250,"Нельзя сказать, что истерика не имела под собой совсем никаких оснований, но некоторые особенности противоположной стороны (албанских боевиков, представлявших собой смесь наркоторговцев, исламских экстремистов, а главным образом просто бандитов) как-то выпали из виду западных политиков и журналистов, утративших даже видимость объективности.",истерика,agent,3.0,nsubj,6,имела
998,1251,"Нельзя сказать, что истерика не имела под собой совсем никаких оснований, но некоторые особенности противоположной стороны (албанских боевиков, представлявших собой смесь наркоторговцев, исламских экстремистов, а главным образом просто бандитов) как-то выпали из виду западных политиков и журналистов, утративших даже видимость объективности.",основание,causator,10.0,obj,6,имела
999,1252,"Нельзя сказать, что истерика не имела под собой совсем никаких оснований, но некоторые особенности противоположной стороны (албанских боевиков, представлявших собой смесь наркоторговцев, исламских экстремистов, а главным образом просто бандитов) как-то выпали из виду западных политиков и журналистов, утративших даже видимость объективности.",особенность,patient,13.0,nsubj,37,выпали
1007,1261,"Тем не менее агрессия, ставшая ошибкой и преступлением одновременно, была совершена из лучших побуждений.",агрессия,patient,3.0,nsubj:pass,12,совершена
1008,1264,"О том, что получилось сегодня из этих побуждений, «Частный корреспондент» уже писал в статье «Казус Косова».",корреспондент,agent,9.0,nsubj,15,писал
1009,1266,"Югославская агрессия, казалось бы, стала лучшим подтверждением данного мнения.",агрессия,patient,1.0,nsubj,6,стала
1010,1268,"Во-первых, агрессии бы не случилось, если бы Югославия имела возможность дать достойный ответ.",агрессия,patient,1.0,nsubj,5,случилось
1012,1270,"Очень показательно, что Венгрия (единственная на тот момент страна — член НАТО, имевшая с Югославией общую сухопутную границу) лишь допустила на свои аэродромы американские самолеты-заправщики и спасательные вертолеты (то есть вспомогательные, но не боевые силы), а также вытребовала эскадрилью американских истребителей для выполнения (это было специально подчеркнуто венгерскими официальными лицами) исключительно задач ПВО.",венгрия,agent,3.0,nsubj,23,допустила
1013,1271,"Очень показательно, что Венгрия (единственная на тот момент страна — член НАТО, имевшая с Югославией общую сухопутную границу) лишь допустила на свои аэродромы американские самолеты-заправщики и спасательные вертолеты (то есть вспомогательные, но не боевые силы), а также вытребовала эскадрилью американских истребителей для выполнения (это было специально подчеркнуто венгерскими официальными лицами) исключительно задач ПВО.",страна,theme,8.0,nsubj,23,допустила
