sentence,role,idx_target,raw_target,idx_head,raw_head
"Эти показатели могут сильно скорректироваться, если центральные банки России, Японии и Великобритании переведут заметную часть своих международных резервов из валюты в золото.",patient,4-14,показатели,15-20,могут
"Эти показатели могут сильно скорректироваться, если центральные банки России, Японии и Великобритании переведут заметную часть своих международных резервов из валюты в золото.",agent,64-69,банки,102-111,переведут
"Эти показатели могут сильно скорректироваться, если центральные банки России, Японии и Великобритании переведут заметную часть своих международных резервов из валюты в золото.",place,159-165,валюты,102-111,переведут
Приведенные оценки не являются рекомендациями совершить какие-либо действия на финансовых рынках.,theme,12-18,оценки,22-30,являются
Вторую жизнь промышленные здания Европы и Северной Америки обретают уже несколько десятилетий.,patient,26-32,здания,59-67,обретают
В последнее время к ним присоединились китайские и российские фабрики и заводы.,agent,62-69,фабрики,24-38,присоединились
В холодный воскресный день на территории центра современного искусства «Винзавод» многолюдно.,time,22-26,день,82-92,многолюдно
"Старшеклассницы в пёстрых шарфах после взаимного фотографирования на фоне граффити серьёзно заявили, что «на «Винзавод» пришли из-за атмосферы, в первую очередь узнать, приобщиться».",agent,0-15,Старшеклассницы,120-126,пришли
"Старшеклассницы в пёстрых шарфах после взаимного фотографирования на фоне граффити серьёзно заявили, что «на «Винзавод» пришли из-за атмосферы, в первую очередь узнать, приобщиться».",time,49-65,фотографирования,120-126,пришли
"Старшеклассницы в пёстрых шарфах после взаимного фотографирования на фоне граффити серьёзно заявили, что «на «Винзавод» пришли из-за атмосферы, в первую очередь узнать, приобщиться».",causator,133-142,атмосферы,120-126,пришли
Пожилая пара перед посещением выставки «Берлинская стена» находилась под впечатлением от архитектуры бывшей пивоварни:,experiencer,8-12,пара,58-68,находилась
"«Вот посмотрите, как здание сделано для производственных целей — полукруглый вход, полукруглые окна, и всё это так красиво и интересно.",patient,21-27,здание,28-35,сделано
"«Вот посмотрите, как здание сделано для производственных целей — полукруглый вход, полукруглые окна, и всё это так красиво и интересно.",theme,77-81,вход,5-15,посмотрите
"Мы пришли посмотреть на архитектуру, на старый завод».",agent,0-2,Мы,3-9,пришли
Реконструкция зданий дореволюционной пивоварни «Московская Бавария» и создание в них центра современного искусства «Винзавод» — один из самых удачных и жизнестойких проектов по перепрофилированию промышленных объектов в бизнес-центры и культурные пространства.,theme,0-13,Реконструкция,128-132,один
Реконструкция зданий дореволюционной пивоварни «Московская Бавария» и создание в них центра современного искусства «Винзавод» — один из самых удачных и жизнестойких проектов по перепрофилированию промышленных объектов в бизнес-центры и культурные пространства.,theme,70-78,создание,128-132,один
"В 4-й Сыромятнический переулок ежедневно приходит множество людей, привлечённых часто скорее старым заводским комплексом, чем выставками современного искусства и магазинами.",agent,50-59,множество,41-49,приходит
"После грязи и характерной для Москвы социальной болезненности, отчётливо проступающей вокруг Курского вокзала, на «Винзаводе» появляется ощущение изолированности от остального города.",patient,137-145,ощущение,126-136,появляется
"В Европе и Северной Америке этот процесс идёт уже давно, Китай и Россия ещё только начинают этот путь разумных перемен.",agent,33-40,процесс,41-45,идёт
"В Европе и Северной Америке этот процесс идёт уже давно, Китай и Россия ещё только начинают этот путь разумных перемен.",agent,57-62,Китай,83-91,начинают
"Немецкая художница и преподаватель МАРХИ Лиза Шмитц делится детскими воспоминаниями о посещении родственников в Рурской области: «Чем ближе мы подъезжали к Эссену, тем становилось всё темнее и темнее, небо из голубого превращалось в серое, и везде стоял ужасный запах».",agent,9-18,художница,52-59,делится
"Немецкая художница и преподаватель МАРХИ Лиза Шмитц делится детскими воспоминаниями о посещении родственников в Рурской области: «Чем ближе мы подъезжали к Эссену, тем становилось всё темнее и темнее, небо из голубого превращалось в серое, и везде стоял ужасный запах».",agent,140-142,мы,143-153,подъезжали
"Немецкая художница и преподаватель МАРХИ Лиза Шмитц делится детскими воспоминаниями о посещении родственников в Рурской области: «Чем ближе мы подъезжали к Эссену, тем становилось всё темнее и темнее, небо из голубого превращалось в серое, и везде стоял ужасный запах».",patient,201-205,небо,52-59,делится
"Сам же город Эссен, ранее известный разве что серым небом и индустриальными пейзажами, станет по решению Совета Европейского союза культурной столицей Европы — 2010.",patient,7-12,город,87-93,станет
"Проекты по перепрофилированию на Западе отличаются своей практичностью — депрессивные регионы с умирающей промышленностью так преображаются, что становятся местом притяжения туристов, пренебрегающих средневековыми замками и барочными дворцами ради атмосферы цехов, впечатлений от посещения шахт и газгольдеров.",agent,0-7,Проекты,40-50,отличаются
"Проекты по перепрофилированию на Западе отличаются своей практичностью — депрессивные регионы с умирающей промышленностью так преображаются, что становятся местом притяжения туристов, пренебрегающих средневековыми замками и барочными дворцами ради атмосферы цехов, впечатлений от посещения шахт и газгольдеров.",theme,163-173,притяжения,156-162,местом
"Перепрофилирование не имеет границ, а реализованный проект может оказаться совершенно неожиданным.",agent,0-18,Перепрофилирование,22-27,имеет
"Перепрофилирование не имеет границ, а реализованный проект может оказаться совершенно неожиданным.",patient,28-34,границ,22-27,имеет
"Несколько лет назад я останавливался в Оттаве в хостеле, созданном в бывшей викторианской тюрьме.",agent,20-21,я,22-36,останавливался
Самым неожиданным проектом конверсии на Западе для меня оказалось перепрофилирование церквей под магазины и жильё.,theme,66-84,перепрофилирование,56-65,оказалось
"Недавно друг из Манчестера прислал мне фотографии новой квартиры своего отца, обустроенной в протестантской церкви конца XIX века.",agent,8-12,друг,27-34,прислал
Красивейшим примером перепрофилирования культового здания стало превращение готического собора XIII века в голландском Маастрихте в громадный книжный супермаркет.,theme,21-39,перепрофилирования,12-20,примером
Красивейшим примером перепрофилирования культового здания стало превращение готического собора XIII века в голландском Маастрихте в громадный книжный супермаркет.,patient,64-75,превращение,58-63,стало
"Россия имеет свою трагическую историю повсеместной конверсии культовых зданий в деревенские клубы, амбары, склады, библиотеки и общежития.",agent,0-6,Россия,7-12,имеет
"В России приходы не сокращаются, а, напротив, стремительно растут, да и неофитское общество принять подобные метаморфозы вряд ли согласится.",agent,9-16,приходы,20-31,сокращаются
"В России приходы не сокращаются, а, напротив, стремительно растут, да и неофитское общество принять подобные метаморфозы вряд ли согласится.",agent,83-91,общество,129-139,согласится
Зато за последние пять-семь лет в крупных городах страны утвердился процесс по приспособлению бывших промзон.,patient,68-75,процесс,57-67,утвердился
"Москва, как важнейший дореволюционный центр промышленного производства и современный мегаполис, испытывающий нужду в офисных площадях в центре, занимает особое место в динамичном перепрофилировании индустриального прошлого.",patient,0-6,Москва,144-152,занимает
"Фабрики и заводы, часто располагающиеся на берегу реки и в центре города, выделяющиеся своим архитектурным разнообразием, становятся модными выставочными и театральными площадками, клубами, бизнес-центрами.",patient,0-7,Фабрики,122-132,становятся
Самые известные московские проекты связаны с формированием публичного пространства.,patient,27-34,проекты,35-42,связаны
Крупные многопрофильные центры современного искусства — «Винзавод» (2007) и «Гараж» (2008) — продолжают притягивать всё больше и больше посетителей.,agent,24-30,центры,93-103,продолжают
"Несмотря на то что инфраструктура этих территорий формируется вокруг выставок современных художников, магазины книг и одежды, детские мастерские, рестораны и лекционные залы создают определённую дефицитную для России атмосферу созидания и познавания.",agent,169-173,залы,174-181,создают
"«Винзавод» и «Гараж», несомненно, коммерческие проекты с налаженной инфраструктурой не только для посетителей, но и для художников, экспонирующих свои работы на их пространствах. ",theme,14-19,Гараж,1-9,Винзавод
В иной концепции в 2004 году создавался центр творческих индустрий Пroekt_Fabrika на тёрритории фабрики по производству технических бумаг «Октябрь».,patient,40-45,центр,29-39,создавался
"Советские и дореволюционные корпуса с нарочито грубой кирпичной кладкой разделены на три сектора — часть занимает сохранившееся фабричное производство, остальная территория отдана под коммерческую аренду и культурное публичное пространство.",patient,28-35,корпуса,173-179,отдана
"Советские и дореволюционные корпуса с нарочито грубой кирпичной кладкой разделены на три сектора — часть занимает сохранившееся фабричное производство, остальная территория отдана под коммерческую аренду и культурное публичное пространство.",agent,138-150,производство,105-113,занимает
"Советские и дореволюционные корпуса с нарочито грубой кирпичной кладкой разделены на три сектора — часть занимает сохранившееся фабричное производство, остальная территория отдана под коммерческую аренду и культурное публичное пространство.",patient,162-172,территория,173-179,отдана
"«Сначала нам было важно, чтобы фабрика не прекращала работать, потом пришло осознание, что это специфика, которой ни у кого нет», — говорит директор Пroekt_Fabrika Ася Филиппова.",agent,31-38,фабрика,42-52,прекращала
"Действительно, такой специфики нет ни у кого.",causator,21-30,специфики,31-34,нет
Уже упоминавшаяся немецкая художница Лиза Шмитц при создании своей выставки вместе со студентами МАРХИ прибегла к помощи работников фабрики: они предоставляли ей бумагу для инсталляции и были вовлечены тем самым в арт-проекты.,agent,27-36,художница,103-111,прибегла
Этот центр на Бауманской отличается демократичностью и лабораторным подходом к творческим проектам.,agent,5-10,центр,25-35,отличается
"Иностранные художники, выставляющиеся в цехах, могут оставаться прямо на фабрике в специально созданных резиденциях.",agent,12-21,художники,47-52,могут
Площадка «Актовый зал» — место выступления независимых театральных коллективов и танцевальных групп.,theme,0-8,Площадка,25-30,место
Площадка «Актовый зал» — место выступления независимых театральных коллективов и танцевальных групп.,goal,31-42,выступления,25-30,место
"Корейская танцовщица Ханыль ждёт своего выступления, облокотившись на оранжевую кирпичную сцену:",agent,10-20,танцовщица,28-32,ждёт
"Корейская танцовщица Ханыль ждёт своего выступления, облокотившись на оранжевую кирпичную сцену:",patient,40-51,выступления,28-32,ждёт
"Действительно, обстановка демократичная — на выставки вход бесплатный, а аренда помещений для культурных проектов осуществляется на льготных условиях.",agent,73-79,аренда,114-128,осуществляется
Хотя демократичный подход существует за счёт коммерческой аренды других помещений.,patient,19-25,подход,26-36,существует
Превращение «Красного Октября» из шоколадной фабрики в квартал дорогого жилья приостановилось из-за кризиса.,patient,0-11,Превращение,78-93,приостановилось
Правление «Красного Октября» приняло решение о временной сдаче некоторых площадей галереям.,agent,0-9,Правление,29-36,приняло
"Одним из арендаторов оказалось выставочное пространство Baibakov Art Projects — успешная компания, занимающаяся экспонированием современного искусства.",patient,43-55,пространство,21-30,оказалось
"Огромные размеры дореволюционных фабричных залов, захватывающий вид на Кремль и Пречистенскую набережную, а также островное местоположение делают «Красный Октябрь» уникальным местом в Москве.",agent,9-16,размеры,139-145,делают
"С оживлением экономической жизни в стране публичное пространство спустится на первые этажи, а территория «Красного Октября» с сохранёнными фабричными корпусами превратится, по словам заместителя генерального директора «Гута-Деволпмент» Антона Чернова, в «высококлассный микрорайон».",patient,52-64,пространство,65-74,спустится
"С оживлением экономической жизни в стране публичное пространство спустится на первые этажи, а территория «Красного Октября» с сохранёнными фабричными корпусами превратится, по словам заместителя генерального директора «Гута-Деволпмент» Антона Чернова, в «высококлассный микрорайон».",patient,94-104,территория,65-74,спустится
"Антон Чернов подтвердил, что сохранение исторического облика фабрики предусматривается уже утверждённым проектом по конверсии.",agent,0-5,Антон,13-23,подтвердил
"Антон Чернов подтвердил, что сохранение исторического облика фабрики предусматривается уже утверждённым проектом по конверсии.",patient,29-39,сохранение,69-86,предусматривается
"Значит, существует надежда, что «Золотой остров» не пойдёт разрушительным путём «Золотой мили».",causator,19-26,надежда,8-18,существует
"Самым ярким примером поражения творческих проектов и победы бизнеса стала ликвидация центра дизайна Artplay на улице Тимура Фрунзе, где помещения бывшей шёлковой фабрики «Красная Роза» арендовали архитекторы, журналисты и дизайнеры.",theme,21-30,поражения,12-20,примером
"Самым ярким примером поражения творческих проектов и победы бизнеса стала ликвидация центра дизайна Artplay на улице Тимура Фрунзе, где помещения бывшей шёлковой фабрики «Красная Роза» арендовали архитекторы, журналисты и дизайнеры.",agent,196-207,архитекторы,185-195,арендовали
Здесь же проходили выставки и размещался известный клуб Keks.,patient,19-27,выставки,9-18,проходили
"Александр Подусков, заместитель директора департамента управления по аренде компании KR Properties, занимающейся конверсией и владеющей всей бывшей фабрикой, объяснил решение по сносу дореволюционного здания тем, что корпус не был предусмотрен для длительного использования — стеклянные пирамидальные потолки, построенные так, чтобы максимальное количество света падало на руки ткачих, создавали протечки и разрушали саму конструкцию.",agent,0-9,Александр,158-166,объяснил
Динамика развития бывших фабрик от арт-центров и культурных пространств к площадям под офисы закономерна.,causator,0-8,Динамика,93-104,закономерна
"Социально преобразив квартал, художники и неформалы свободной идеологии 1968 года давно уже съехали из нью-йоркского Сохо — освободили помещения под дорогие лофты и офисы крупных компаний.",time,77-81,года,92-99,съехали
В Москве заводские комплексы под офисы крупных компаний перепрофилируются с разной степенью уважения к архитектурному наследию и индустриальному прошлому.,causator,19-28,комплексы,56-73,перепрофилируются
"Лофт-квартал с акцентированной фабричной спецификой занимают офисы определённых компаний, чьи менеджеры и работники ценят архитектурный стиль, — ТВ3, MTV, «2х2», Kira Plastinina.",agent,61-66,офисы,52-60,занимают
"Лофт-квартал с акцентированной фабричной спецификой занимают офисы определённых компаний, чьи менеджеры и работники ценят архитектурный стиль, — ТВ3, MTV, «2х2», Kira Plastinina.",experiencer,94-103,менеджеры,52-60,занимают
"Грамотное перепрофилирование фабрик и заводов заставляет прошлое работать на настоящее, вовлекают в игру с историей офисных работников и их клиентов.",agent,10-28,перепрофилирование,46-56,заставляет
"Грамотное перепрофилирование фабрик и заводов заставляет прошлое работать на настоящее, вовлекают в игру с историей офисных работников и их клиентов.",agent,57-64,прошлое,46-56,заставляет
Мода на лофты и на неискажённые современным вмешательством дореволюционные фабричные интерьеры созвучна моде на старые капиталистические традиции России начала XX века.,causator,0-4,Мода,95-103,созвучна
"Так, KR Properties дала корпусам своих деловых кварталов имена известных русских купцов и меценатов, а за самими бизнес-центрами оставила старые фабричные названия, приписав ещё и год основания фабрики: «Даниловская мануфактура, 1867», «Красная Роза, 1875».",addressee,24-32,корпусам,19-23,дала
"Но всех ли принимают в эту солидную игру, насколько вовлечены в неё местные жители и оказывают ли социальное влияние перепрофилированные фабрики и заводы?",patient,76-82,жители,11-20,принимают
"Появление новых интересных публичных пространств оживляет не только отдельные кварталы, но и целые города.",agent,0-9,Появление,49-57,оживляет
"В последнее время в Москве новые культурные проекты всё чаще осуществляются на старых, романтически заброшенных промзонах.",patient,44-51,проекты,61-75,осуществляются
"«По ночам народ собирается на «Арме», потому что это завод, он притягивает людей», — говорит продавец клубной музыки Володя.",time,4-9,ночам,16-26,собирается
"«По ночам народ собирается на «Арме», потому что это завод, он притягивает людей», — говорит продавец клубной музыки Володя.",agent,10-15,народ,16-26,собирается
"Раньше «Арма» — газовый завод с массивными цилиндрическими газгольдерами 1865 года постройки, сейчас — концентрация ночных клубов, дискотек и сопутствующей инфраструктуры.",causator,8-12,Арма,103-115,концентрация
"Раньше «Арма» — газовый завод с массивными цилиндрическими газгольдерами 1865 года постройки, сейчас — концентрация ночных клубов, дискотек и сопутствующей инфраструктуры.",theme,123-129,клубов,103-115,концентрация
"«У нас лофт-проект, основная ставка на стены.",theme,29-35,ставка,7-18,лофт-проект
"Их мы бережём и гордимся ими,",agent,3-5,мы,6-13,бережём
— говорит совладелец клуба Copenhagen Александр Казаков.,agent,10-20,совладелец,2-9,говорит
"— Лофт — это тренд, это модно.",causator,2-6,Лофт,13-18,тренд
Это обязывает к определённой атмосфере в клубе.,goal,29-38,атмосфере,4-13,обязывает
"Она демократичная, лёгкая и весёлая».",causator,0-3,Она,4-17,демократичная
"Однако есть опасность, что демократичная и весёлая обстановка может смениться серьёзной и консервативной, — существует проект по реконструкции газового завода и сдачи его радикально реконструированных строений под офисы.",causator,12-21,опасность,7-11,есть
Так закроется для города ещё один уникальный промышленный объект.,benefactive,18-24,города,4-13,закроется
Смелые и финансово обременительные проекты по конверсии газгольдеров в Рурской области под музей астрономии или самый большой центр дайвинга в Европе для Москвы явно неактуальны.,causator,35-42,проекты,166-177,неактуальны
Игра в прошлое ведётся в Москве пока хаотично и без правил.,patient,0-4,Игра,15-22,ведётся
Это может быть объяснено молодостью процесса по приспособлению промзон.,patient,0-3,Это,4-9,может
"Огромную роль играет система ценностей и приоритетов, разделяемых обществом.",patient,9-13,роль,14-20,играет
"Огромную роль играет система ценностей и приоритетов, разделяемых обществом.",agent,21-28,система,14-20,играет
Зарождающаяся мода на лофты и на архитектурную подлинность пока ещё очень слаба.,causator,14-18,мода,74-79,слаба
"Однако дворцовая эстетика российской элиты начинает медленно сменяться на эстетику аутентичности и демократичности пространства, воплощённую в бывших индустриальных комплексах.",agent,17-25,эстетика,61-70,сменяться
Это понимают и руководители проектов по приспособлению их под бизнес-центры и дорогое жильё.,experiencer,15-27,руководители,4-12,понимают
"Публичный сектор, рассчитанный не только на малочисленную элиту, предусмотрен на «Красном Октябре», «Даниловской мануфактуре», «Красной Розе» и ещё на многих других бывших промзонах.",patient,10-16,сектор,65-77,предусмотрен
Москва — один из самых закрытых городов Европы.,causator,0-6,Москва,9-13,один
"Повсюду сидят мающиеся охранники, практически везде действует пропускная система.",agent,23-32,охранники,8-13,сидят
"Главное только, чтобы не исчезли «юные забавы» и бывшие заводы и фабрики действительно становились открытыми городу, сохраняли свой демократичный и созидательный дух.",patient,39-45,забавы,25-32,исчезли
"Главное только, чтобы не исчезли «юные забавы» и бывшие заводы и фабрики действительно становились открытыми городу, сохраняли свой демократичный и созидательный дух.",addressee,109-115,городу,87-98,становились
Уважение к прошлому через отведение ему непосредственного места в настоящем — главная особенность популярного мирового процесса — перепрофилирования.,causator,0-8,Уважение,86-97,особенность
Дело Саввы Терентьева продолжают обиженные барышни,patient,0-4,Дело,22-32,продолжают
"3 декабря пройдет очередное заседание суда, на котором будет решаться судьба очередного ЖЖ-преступника.",agent,28-37,заседание,10-17,пройдет
"27-летняя Наталья Вотякова не писала гадостей про сотрудников правоохранительных органов, не рассказывала в своем блоге о подготовке к убийству, не собиралась выступать в роли шахидки.",agent,10-17,Наталья,30-36,писала
"27-летняя Наталья Вотякова не писала гадостей про сотрудников правоохранительных органов, не рассказывала в своем блоге о подготовке к убийству, не собиралась выступать в роли шахидки.",patient,37-45,гадостей,30-36,писала
Она просто неудачно подписала фотографию соперницы.,agent,0-3,Она,20-29,подписала
Теперь Вотяковой грозит полгода тюрьмы или штраф в 120 тыс. рублей.,experiencer,7-16,Вотяковой,17-23,грозит
А в качестве обоснования этой просьбы было предоставлено обсуждение этого по всем параметрам неприятного дела в ЖЖ.,patient,57-67,обсуждение,43-56,предоставлено
"Суть дела в том, что в конце лета жительница Горно-Алтайска Наталья Вотякова узнала о том, что у ее мужа есть любовница.",theme,0-4,Суть,77-83,узнала
"Суть дела в том, что в конце лета жительница Горно-Алтайска Наталья Вотякова узнала о том, что у ее мужа есть любовница.",experiencer,34-44,жительница,77-83,узнала
"Масла в огонь подлили два аспекта: любовница, Валентина Фефелова, была беременна, а у коварного супруга нашли венерическое заболевание.",patient,0-5,Масла,14-21,подлили
Наталья решила действовать в духе века высоких технологий.,agent,0-7,Наталья,8-14,решила
"Далее, как принято говорить, показания свидетелей расходятся.",patient,29-38,показания,50-60,расходятся
"Вариант Валентины более лаконичен: «Пришла незнакомая тетка, зачем-то стала расспрашивать меня о коллеге, особо напирая на несуществующие отношения с ним».",theme,0-7,Вариант,24-33,лаконичен
"Как бы то ни было, взбешенная Наталья сфотографировала разлучницу, вылила на нее чашку кофе и с чувством выполненного долга удалилась.",agent,30-37,Наталья,38-54,сфотографировала
"Так бы и висела эта злобная, но так радовавшая сердце Натальи запись, если бы на объявление «Кому продажной любви?» не вышел знакомый обеих женщин Александр Тарышкин.",patient,62-68,запись,9-15,висела
"Так бы и висела эта злобная, но так радовавшая сердце Натальи запись, если бы на объявление «Кому продажной любви?» не вышел знакомый обеих женщин Александр Тарышкин.",agent,125-133,знакомый,119-124,вышел
"Мужчина «обрадовал» новостью ни о чем не подозревавшую Валентину, которая пожаловалась в администрацию «Живого журнала», а заодно отнесла заявление в милицию.",agent,0-7,Мужчина,9-18,обрадовал
"Злополучный пост был снят, а на Наталью завели уголовное дело по статье 129 «Клевета, то есть распространение заведомо ложных сведений, порочащих честь и достоинство другого лица или подрывающих его репутацию, содержащихся в средствах массовой информации».",patient,12-16,пост,21-25,снят
Расследование превратилось в совсем уж некрасивую разборку.,patient,0-13,Расследование,14-26,превратилось
"Валентина играла роль оскорбленной невинности, утверждая, что адюльтер и беременность — плод воображения четы Вотяковых.",agent,0-9,Валентина,10-16,играла
"Валентина играла роль оскорбленной невинности, утверждая, что адюльтер и беременность — плод воображения четы Вотяковых.",patient,17-21,роль,10-16,играла
"Валентина играла роль оскорбленной невинности, утверждая, что адюльтер и беременность — плод воображения четы Вотяковых.",theme,62-70,адюльтер,88-92,плод
"Наталья в свою очередь давила на жалость, объясняя свой поступок состоянием аффекта, а также боязнью за семью.",agent,0-7,Наталья,23-29,давила
"«Следствие не стало устанавливать, была ли любовная связь между г-жой Фефеловой и мужем подсудимой,",agent,1-10,Следствие,20-33,устанавливать
"«Следствие не стало устанавливать, была ли любовная связь между г-жой Фефеловой и мужем подсудимой,",theme,52-57,связь,20-33,устанавливать
— рассказал «Часкору» член правления правозащитной комиссии «Мемориал» Эрнест Мезак.,agent,22-26,член,2-11,рассказал
"Ведь аморальное поведение потерпевшей — это обстоятельство, смягчающее наказание г-жи Вотяковой».",causator,16-25,поведение,44-58,обстоятельство
Тем не менее обидчице уже пообещали небо в алмазах.,benefactive,13-21,обидчице,26-35,пообещали
Правозащитники убеждены: обвинять Наталью нельзя.,experiencer,0-14,Правозащитники,15-23,убеждены
«В чем она виновна?,experiencer,7-10,она,11-18,виновна
Спорный текст процессуальные оппоненты трактуют по-разному.,patient,8-13,текст,39-47,трактуют
Спорный текст процессуальные оппоненты трактуют по-разному.,agent,29-38,оппоненты,39-47,трактуют
— рассуждает Эрнест Мезак.,agent,13-19,Эрнест,2-12,рассуждает
"— Подсудимая говорит, что она просто негативно оценивала любовницу мужа, то есть высказывала свое частное мнение.",agent,2-12,Подсудимая,13-20,говорит
"— Подсудимая говорит, что она просто негативно оценивала любовницу мужа, то есть высказывала свое частное мнение.",experiencer,26-29,она,47-56,оценивала
"Мнение может быть преступным, если оно кого-то унижает и выражено в неприличной форме.",causator,0-6,Мнение,7-12,может
